NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;1;1;2:10.060;0;;50.087;0;39.124;0;40.849;0;121.4;2:10.060;15:32:10.060;0:50.087;0:39.124;0:40.849;;ARTEM LOBANENKO;0:00:14.461;;;DRIVEX SCHOOL;;
11;1;2;1:52.237;0;;36.096;0;36.304;0;39.837;0;149.2;4:02.297;15:34:02.297;0:36.096;0:36.304;0:39.837;201.5;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;3;1:48.898;0;;34.028;0;35.439;0;39.431;0;153.8;5:51.195;15:35:51.195;0:34.028;0:35.439;0:39.431;226.4;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;4;1:48.234;0;;33.724;0;35.007;0;39.503;0;154.8;7:39.429;15:37:39.429;0:33.724;0:35.007;0:39.503;227.8;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;5;1:48.273;0;;34.013;0;34.990;0;39.270;0;154.7;9:27.702;15:39:27.702;0:34.013;0:34.990;0:39.270;225.9;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;6;1:47.704;2;;33.804;0;34.628;2;39.272;0;155.5;11:15.406;15:41:15.406;0:33.804;0:34.628;0:39.272;226.4;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;7;1:55.760;0;B;33.787;0;35.035;0;46.938;0;144.7;13:11.166;15:43:11.166;0:33.787;0:35.035;0:46.938;227.4;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;8;4:38.423;0;;3:18.621;0;38.717;0;41.085;0;60.2;17:49.589;15:47:49.589;3:18.621;0:38.717;0:41.085;;ARTEM LOBANENKO;0:02:47.529;;;DRIVEX SCHOOL;;
11;1;9;1:50.718;0;;35.559;0;35.898;0;39.261;0;151.3;19:40.307;15:49:40.307;0:35.559;0:35.898;0:39.261;210.1;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;10;1:49.000;0;;34.479;0;35.443;0;39.078;0;153.7;21:29.307;15:51:29.307;0:34.479;0:35.443;0:39.078;227.8;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;11;1:47.738;0;;33.749;0;34.844;0;39.145;0;155.5;23:17.045;15:53:17.045;0:33.749;0:34.844;0:39.145;227.8;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;12;1:47.914;0;;33.786;0;34.804;0;39.324;0;155.2;25:04.959;15:55:04.959;0:33.786;0:34.804;0:39.324;228.3;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;13;1:47.276;0;;33.485;2;34.751;0;39.040;0;156.1;26:52.235;15:56:52.235;0:33.485;0:34.751;0:39.040;228.8;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;14;1:47.801;0;;33.773;0;34.773;0;39.255;0;155.4;28:40.036;15:58:40.036;0:33.773;0:34.773;0:39.255;228.8;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
11;1;15;1:48.024;0;;34.145;0;34.928;0;38.951;2;155.1;30:28.060;16:00:28.060;0:34.145;0:34.928;0:38.951;229.3;ARTEM LOBANENKO;;;;DRIVEX SCHOOL;;
13;1;1;10:12.201;0;;8:54.010;0;37.909;0;40.282;0;25.8;10:12.201;15:40:12.201;8:54.010;0:37.909;0:40.282;;TIJMEN VAN DER HELM;0:08:16.580;R;;MP MOTORSPORT;;
13;1;2;1:50.995;0;;35.395;0;36.285;0;39.315;0;150.9;12:03.196;15:42:03.196;0:35.395;0:36.285;0:39.315;223.6;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
13;1;3;1:48.277;0;;33.848;0;35.296;0;39.133;0;154.7;13:51.473;15:43:51.473;0:33.848;0:35.296;0:39.133;227.4;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
13;1;4;1:47.479;0;;33.609;0;34.766;0;39.104;0;155.9;15:38.952;15:45:38.952;0:33.609;0:34.766;0:39.104;227.8;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
13;1;5;1:47.168;0;;33.512;0;34.677;2;38.979;0;156.3;17:26.120;15:47:26.120;0:33.512;0:34.677;0:38.979;226.9;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
13;1;6;1:47.045;0;;33.428;0;34.729;0;38.888;0;156.5;19:13.165;15:49:13.165;0:33.428;0:34.729;0:38.888;229.3;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
13;1;7;1:46.935;2;;33.384;2;34.681;0;38.870;2;156.6;21:00.100;15:51:00.100;0:33.384;0:34.681;0:38.870;229.3;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
13;1;8;1:47.125;0;;33.450;0;34.719;0;38.956;0;156.4;22:47.225;15:52:47.225;0:33.450;0:34.719;0:38.956;229.8;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
13;1;9;1:47.287;0;;33.622;0;34.697;0;38.968;0;156.1;24:34.512;15:54:34.512;0:33.622;0:34.697;0:38.968;234.3;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
13;1;10;1:47.165;0;;33.447;0;34.679;0;39.039;0;156.3;26:21.677;15:56:21.677;0:33.447;0:34.679;0:39.039;229.8;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
13;1;11;1:57.569;0;B;33.480;0;34.817;0;49.272;0;142.5;28:19.246;15:58:19.246;0:33.480;0:34.817;0:49.272;231.3;TIJMEN VAN DER HELM;;R;;MP MOTORSPORT;;
16;1;1;10:24.971;0;;9:08.595;0;36.483;0;39.893;0;25.3;10:24.971;15:40:24.971;9:08.595;0:36.483;0:39.893;;GLENN VAN BERLO;0:08:34.225;R;;MP MOTORSPORT;;
16;1;2;1:47.707;0;;33.936;0;34.707;0;39.064;0;155.5;12:12.678;15:42:12.678;0:33.936;0:34.707;0:39.064;226.4;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
16;1;3;1:46.924;0;;33.544;0;34.444;0;38.936;0;156.7;13:59.602;15:43:59.602;0:33.544;0:34.444;0:38.936;228.8;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
16;1;4;1:46.854;0;;33.475;0;34.514;0;38.865;0;156.8;15:46.456;15:45:46.456;0:33.475;0:34.514;0:38.865;229.3;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
16;1;5;1:46.988;0;;33.537;0;34.632;0;38.819;0;156.6;17:33.444;15:47:33.444;0:33.537;0:34.632;0:38.819;230.8;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
16;1;6;1:46.820;0;;33.445;0;34.565;0;38.810;2;156.8;19:20.264;15:49:20.264;0:33.445;0:34.565;0:38.810;230.8;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
16;1;7;1:46.992;0;;33.503;0;34.602;0;38.887;0;156.6;21:07.256;15:51:07.256;0:33.503;0:34.602;0:38.887;230.8;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
16;1;8;1:46.876;0;;33.439;2;34.470;0;38.967;0;156.7;22:54.132;15:52:54.132;0:33.439;0:34.470;0:38.967;231.3;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
16;1;9;1:47.811;0;;33.638;0;34.918;0;39.255;0;155.4;24:41.943;15:54:41.943;0:33.638;0:34.918;0:39.255;230.8;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
16;1;10;1:46.784;2;;33.468;0;34.438;2;38.878;0;156.9;26:28.727;15:56:28.727;0:33.468;0:34.438;0:38.878;231.3;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
16;1;11;2:06.461;0;B;36.327;0;39.740;0;50.394;0;132.5;28:35.188;15:58:35.188;0:36.327;0:39.740;0:50.394;232.8;GLENN VAN BERLO;;R;;MP MOTORSPORT;;
20;1;1;2:12.318;0;;51.433;0;39.123;0;41.762;0;119.4;2:12.318;15:32:12.318;0:51.433;0:39.123;0:41.762;;IVAN NOSOV;0:00:14.056;R;;DRIVEX SCHOOL;;
20;1;2;1:51.893;0;;36.551;0;35.837;0;39.505;0;149.7;4:04.211;15:34:04.211;0:36.551;0:35.837;0:39.505;223.1;IVAN NOSOV;;R;;DRIVEX SCHOOL;;
20;1;3;1:48.403;0;;33.974;0;35.174;0;39.255;0;154.5;5:52.614;15:35:52.614;0:33.974;0:35.174;0:39.255;229.8;IVAN NOSOV;;R;;DRIVEX SCHOOL;;
20;1;4;1:47.903;0;;33.624;0;34.910;0;39.369;0;155.2;7:40.517;15:37:40.517;0:33.624;0:34.910;0:39.369;231.8;IVAN NOSOV;;R;;DRIVEX SCHOOL;;
20;1;5;1:47.551;0;;33.677;0;34.833;0;39.041;0;155.7;9:28.068;15:39:28.068;0:33.677;0:34.833;0:39.041;230.3;IVAN NOSOV;;R;;DRIVEX SCHOOL;;
20;1;6;1:49.235;0;;34.982;0;34.900;0;39.353;0;153.3;11:17.303;15:41:17.303;0:34.982;0:34.900;0:39.353;233.3;IVAN NOSOV;;R;;DRIVEX SCHOOL;;
20;1;7;1:48.140;0;;33.736;0;35.022;0;39.382;0;154.9;13:05.443;15:43:05.443;0:33.736;0:35.022;0:39.382;229.3;IVAN NOSOV;;R;;DRIVEX SCHOOL;;
20;1;8;1:56.333;0;B;34.084;0;35.184;0;47.065;0;144.0;15:01.776;15:45:01.776;0:34.084;0:35.184;0:47.065;230.8;IVAN NOSOV;;R;;DRIVEX SCHOOL;;
20;1;9;4:01.871;0;;2:44.667;0;37.263;0;39.941;0;69.3;19:03.647;15:49:03.647;2:44.667;0:37.263;0:39.941;;IVAN NOSOV;0:02:10.846;R;;DRIVEX SCHOOL;;
20;1;10;1:48.518;0;;34.289;0;34.974;0;39.255;0;154.4;20:52.165;15:50:52.165;0:34.289;0:34.974;0:39.255;227.8;IVAN NOSOV;;R;;DRIVEX SCHOOL;;
