NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;0;1;1:33.145;0;;32.989;0;33.981;0;26.175;0;146.2;1:33.145;12:39:14.824;0:32.989;0:33.981;0:26.175;246.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;2;1:27.352;0;;28.726;0;32.409;0;26.217;0;155.9;3:00.497;12:40:42.176;0:28.726;0:32.409;0:26.217;246.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;3;1:26.666;0;;28.467;0;32.398;0;25.801;0;157.1;4:27.163;12:42:08.842;0:28.467;0:32.398;0:25.801;246.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;4;1:28.502;0;;28.015;0;34.123;0;26.364;0;153.8;5:55.665;12:43:37.344;0:28.015;0:34.123;0:26.364;248.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;5;1:25.368;0;;27.829;0;31.827;1;25.712;0;159.5;7:21.033;12:45:02.712;0:27.829;0:31.827;0:25.712;248.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;6;1:25.607;0;;27.930;0;31.969;0;25.708;0;159.0;8:46.640;12:46:28.319;0:27.930;0:31.969;0:25.708;249.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;7;1:25.918;0;;27.933;0;32.334;0;25.651;0;158.5;10:12.558;12:47:54.237;0:27.933;0:32.334;0:25.651;248.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;8;1:26.103;0;;27.923;0;32.109;0;26.071;0;158.1;11:38.661;12:49:20.340;0:27.923;0:32.109;0:26.071;249.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;9;1:27.453;0;;29.781;0;32.002;0;25.670;0;155.7;13:06.114;12:50:47.793;0:29.781;0:32.002;0:25.670;239.2;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;10;1:27.056;0;;28.477;0;32.181;0;26.398;0;156.4;14:33.170;12:52:14.849;0:28.477;0:32.181;0:26.398;250.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;11;1:26.661;0;;28.959;0;32.155;0;25.547;0;157.1;15:59.831;12:53:41.510;0:28.959;0:32.155;0:25.547;245.7;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;12;1:29.838;0;;28.774;0;33.882;0;27.182;0;151.6;17:29.669;12:55:11.348;0:28.774;0:33.882;0:27.182;243.8;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;13;1:26.520;0;;28.029;0;32.803;0;25.688;0;157.4;18:56.189;12:56:37.868;0:28.029;0:32.803;0:25.688;250.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;14;1:31.184;0;;30.773;0;33.368;0;27.043;0;149.3;20:27.373;12:58:09.052;0:30.773;0:33.368;0:27.043;249.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;15;1:26.933;0;;27.923;0;32.607;0;26.403;0;156.6;21:54.306;12:59:35.985;0:27.923;0:32.607;0:26.403;249.0;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;16;1:26.543;0;;28.416;0;32.337;0;25.790;0;157.3;23:20.849;13:01:02.528;0:28.416;0:32.337;0:25.790;250.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;17;1:25.425;0;;27.928;0;31.904;0;25.593;0;159.4;24:46.274;13:02:27.953;0:27.928;0:31.904;0:25.593;248.1;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;18;1:25.814;0;;28.042;0;32.398;0;25.374;1;158.7;26:12.088;13:03:53.767;0:28.042;0:32.398;0:25.374;248.6;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;19;1:46.769;0;;27.574;1;39.847;0;39.348;0;127.5;27:58.857;13:05:40.536;0:27.574;0:39.847;0:39.348;249.5;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;0;20;2:48.248;0;B;47.490;0;1:03.956;0;56.802;0;80.9;30:47.105;13:08:28.784;0:47.490;1:03.956;0:56.802;102.3;Ricky Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;21;2:58.718;0;;1:25.088;0;52.508;0;41.122;0;76.2;33:45.823;13:11:27.502;1:25.088;0:52.508;0:41.122;95.5;Jordan Taylor;0:00:49.195;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;22;2:26.392;0;;52.153;0;51.440;0;42.799;0;93.0;36:12.215;13:13:53.894;0:52.153;0:51.440;0:42.799;95.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;23;2:37.971;0;;57.897;0;1:00.417;0;39.657;0;86.2;38:50.186;13:16:31.865;0:57.897;1:00.417;0:39.657;69.7;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;24;2:21.039;0;;46.729;0;49.252;0;45.058;0;96.5;41:11.225;13:18:52.904;0:46.729;0:49.252;0:45.058;96.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;25;2:43.685;0;;56.783;0;1:07.750;0;39.152;0;83.2;43:54.910;13:21:36.589;0:56.783;1:07.750;0:39.152;95.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;26;1:30.421;0;;31.036;0;32.978;0;26.407;0;150.6;45:25.331;13:23:07.010;0:31.036;0:32.978;0:26.407;240.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;27;1:26.911;0;;28.510;0;32.564;0;25.837;0;156.7;46:52.242;13:24:33.921;0:28.510;0:32.564;0:25.837;248.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;28;1:25.732;0;;28.109;0;32.113;0;25.510;0;158.8;48:17.974;13:25:59.653;0:28.109;0:32.113;0:25.510;248.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;29;1:25.181;0;;27.857;0;31.971;0;25.353;0;159.8;49:43.155;13:27:24.834;0:27.857;0:31.971;0:25.353;248.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;30;1:25.174;0;;27.672;0;32.192;0;25.310;0;159.8;51:08.329;13:28:50.008;0:27.672;0:32.192;0:25.310;248.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;31;1:24.876;0;;27.522;0;31.908;0;25.446;0;160.4;52:33.205;13:30:14.884;0:27.522;0:31.908;0:25.446;249.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;32;1:24.250;0;;27.508;0;31.591;0;25.151;0;161.6;53:57.455;13:31:39.134;0:27.508;0:31.591;0:25.151;250.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;33;1:24.173;0;;27.289;0;31.632;0;25.252;0;161.8;55:21.628;13:33:03.307;0:27.289;0:31.632;0:25.252;250.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;34;1:23.401;0;;26.975;0;31.417;0;25.009;0;163.2;56:45.029;13:34:26.708;0:26.975;0:31.417;0:25.009;250.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;35;1:34.052;0;B;26.975;0;31.384;0;35.693;0;144.8;58:19.081;13:36:00.760;0:26.975;0:31.384;0:35.693;251.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;36;1:47.598;0;;50.480;0;32.067;0;25.051;0;126.5;1:00:06.679;13:37:48.358;0:50.480;0:32.067;0:25.051;247.6;Jordan Taylor;0:00:35.504;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;37;1:24.333;0;;26.999;0;31.347;0;25.987;0;161.4;1:01:31.012;13:39:12.691;0:26.999;0:31.347;0:25.987;248.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;38;1:23.222;0;;26.910;0;31.359;0;24.953;0;163.6;1:02:54.234;13:40:35.913;0:26.910;0:31.359;0:24.953;249.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;39;1:23.107;3;;26.877;2;31.267;2;24.963;0;163.8;1:04:17.341;13:41:59.020;0:26.877;0:31.267;0:24.963;250.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;40;1:23.183;0;;26.935;0;31.298;0;24.950;0;163.7;1:05:40.524;13:43:22.203;0:26.935;0:31.298;0:24.950;249.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;41;1:26.406;0;;27.684;0;32.784;0;25.938;0;157.6;1:07:06.930;13:44:48.609;0:27.684;0:32.784;0:25.938;250.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;42;1:27.307;0;;28.451;0;32.798;0;26.058;0;155.9;1:08:34.237;13:46:15.916;0:28.451;0:32.798;0:26.058;247.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;43;1:25.177;0;;28.183;0;31.962;0;25.032;0;159.8;1:09:59.414;13:47:41.093;0:28.183;0:31.962;0:25.032;248.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;44;1:23.604;0;;27.171;0;31.453;0;24.980;0;162.9;1:11:23.018;13:49:04.697;0:27.171;0:31.453;0:24.980;250.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;45;1:23.286;0;;26.895;0;31.419;0;24.972;0;163.5;1:12:46.304;13:50:27.983;0:26.895;0:31.419;0:24.972;250.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;46;1:23.412;0;;26.925;0;31.328;0;25.159;0;163.2;1:14:09.716;13:51:51.395;0:26.925;0:31.328;0:25.159;249.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;47;1:23.368;0;;27.072;0;31.313;0;24.983;0;163.3;1:15:33.084;13:53:14.763;0:27.072;0:31.313;0:24.983;251.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;48;1:23.591;0;;27.170;0;31.282;0;25.139;0;162.9;1:16:56.675;13:54:38.354;0:27.170;0:31.282;0:25.139;249.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;49;1:23.257;0;;26.979;0;31.397;0;24.881;2;163.5;1:18:19.932;13:56:01.611;0:26.979;0:31.397;0:24.881;250.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;50;1:23.609;0;;26.991;0;31.368;0;25.250;0;162.8;1:19:43.541;13:57:25.220;0:26.991;0:31.368;0:25.250;249.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;51;1:24.229;0;;27.255;0;31.777;0;25.197;0;161.6;1:21:07.770;13:58:49.449;0:27.255;0:31.777;0:25.197;249.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;52;1:23.840;0;;27.304;0;31.362;0;25.174;0;162.4;1:22:31.610;14:00:13.289;0:27.304;0:31.362;0:25.174;248.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;53;1:24.999;0;;27.487;0;31.458;0;26.054;0;160.2;1:23:56.609;14:01:38.288;0:27.487;0:31.458;0:26.054;250.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;54;1:26.286;0;;28.306;0;32.359;0;25.621;0;157.8;1:25:22.895;14:03:04.574;0:28.306;0:32.359;0:25.621;246.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;55;1:26.184;0;;28.024;0;32.218;0;25.942;0;158.0;1:26:49.079;14:04:30.758;0:28.024;0:32.218;0:25.942;248.1;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;56;1:23.744;0;;27.367;0;31.331;0;25.046;0;162.6;1:28:12.823;14:05:54.502;0:27.367;0:31.331;0:25.046;250.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;57;1:24.194;0;;27.201;0;31.745;0;25.248;0;161.7;1:29:37.017;14:07:18.696;0:27.201;0:31.745;0:25.248;250.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;58;1:25.553;0;;28.096;0;32.303;0;25.154;0;159.1;1:31:02.570;14:08:44.249;0:28.096;0:32.303;0:25.154;246.6;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;59;1:23.660;0;;27.020;0;31.510;0;25.130;0;162.7;1:32:26.230;14:10:07.909;0:27.020;0:31.510;0:25.130;250.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;60;1:23.652;0;;26.994;0;31.529;0;25.129;0;162.8;1:33:49.882;14:11:31.561;0:26.994;0:31.529;0:25.129;249.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;61;1:23.577;0;;27.058;0;31.386;0;25.133;0;162.9;1:35:13.459;14:12:55.138;0:27.058;0:31.386;0:25.133;250.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;62;1:23.632;0;;27.164;0;31.437;0;25.031;0;162.8;1:36:37.091;14:14:18.770;0:27.164;0:31.437;0:25.031;249.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;63;1:23.621;0;;27.086;0;31.461;0;25.074;0;162.8;1:38:00.712;14:15:42.391;0:27.086;0:31.461;0:25.074;250.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;64;1:24.251;0;;27.233;0;31.658;0;25.360;0;161.6;1:39:24.963;14:17:06.642;0:27.233;0:31.658;0:25.360;250.5;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
10;1;65;1:24.551;0;;27.365;0;31.851;0;25.335;0;161.0;1:40:49.514;14:18:31.193;0:27.365;0:31.851;0:25.335;251.0;Jordan Taylor;;P;;Konica Minolta Cadillac DPi-V.R;Cadillac;
14;0;1;1:46.161;0;;43.026;0;35.418;0;27.717;0;128.2;1:46.161;12:39:27.840;0:43.026;0:35.418;0:27.717;222.9;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;2;1:33.872;0;;31.228;0;34.907;0;27.737;0;145.0;3:20.033;12:41:01.712;0:31.228;0:34.907;0:27.737;224.8;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;3;1:36.029;0;;31.616;0;35.643;0;28.770;0;141.8;4:56.062;12:42:37.741;0:31.616;0:35.643;0:28.770;228.9;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;4;1:35.265;0;;32.698;0;34.813;0;27.754;0;142.9;6:31.327;12:44:13.006;0:32.698;0:34.813;0:27.754;220.2;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;5;1:34.366;0;;31.635;0;35.043;0;27.688;0;144.3;8:05.693;12:45:47.372;0:31.635;0:35.043;0:27.688;228.1;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;6;1:36.531;0;;31.874;0;35.369;0;29.288;0;141.0;9:42.224;12:47:23.903;0:31.874;0:35.369;0:29.288;216.4;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;7;1:31.891;0;;30.309;0;34.195;0;27.387;0;148.2;11:14.115;12:48:55.794;0:30.309;0:34.195;0:27.387;225.2;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;8;1:31.843;0;;30.240;0;34.312;0;27.291;0;148.2;12:45.958;12:50:27.637;0:30.240;0:34.312;0:27.291;227.2;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;9;1:31.733;0;;30.281;0;34.168;0;27.284;1;148.4;14:17.691;12:51:59.370;0:30.281;0:34.168;0:27.284;226.4;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;10;1:31.867;0;;30.327;0;34.249;0;27.291;0;148.2;15:49.558;12:53:31.237;0:30.327;0:34.249;0:27.291;226.4;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;11;1:31.885;0;;30.405;0;34.146;0;27.334;0;148.2;17:21.443;12:55:03.122;0:30.405;0:34.146;0:27.334;226.8;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;12;1:33.751;0;;30.812;0;35.394;0;27.545;0;145.2;18:55.194;12:56:36.873;0:30.812;0:35.394;0:27.545;226.8;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;13;1:35.698;0;;31.478;0;35.872;0;28.348;0;142.3;20:30.892;12:58:12.571;0:31.478;0:35.872;0:28.348;220.6;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;14;1:32.324;0;;30.368;0;34.406;0;27.550;0;147.5;22:03.216;12:59:44.895;0:30.368;0:34.406;0:27.550;226.8;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;15;1:32.035;0;;30.410;0;34.301;0;27.324;0;147.9;23:35.251;13:01:16.930;0:30.410;0:34.301;0:27.324;225.6;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;16;1:31.447;0;;30.143;1;33.980;1;27.324;0;148.9;25:06.698;13:02:48.377;0:30.143;0:33.980;0:27.324;226.0;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;17;1:31.766;0;;30.279;0;34.087;0;27.400;0;148.4;26:38.464;13:04:20.143;0:30.279;0:34.087;0:27.400;227.2;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;18;1:45.519;0;;33.385;0;38.852;0;33.282;0;129.0;28:23.983;13:06:05.662;0:33.385;0:38.852;0:33.282;181.3;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;19;2:22.386;0;;40.375;0;54.987;0;47.024;0;95.6;30:46.369;13:08:28.048;0:40.375;0:54.987;0:47.024;139.4;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;0;20;3:06.567;0;B;55.077;0;52.716;0;1:18.774;0;73.0;33:52.936;13:11:34.615;0:55.077;0:52.716;1:18.774;73.5;Scott Pruett;;GTD;;3GT Racing;Lexus;
14;1;21;2:37.534;0;;1:02.148;0;56.913;0;38.473;0;86.4;36:30.470;13:14:12.149;1:02.148;0:56.913;0:38.473;103.4;Sage Karam;0:00:51.711;GTD;;3GT Racing;Lexus;
14;1;22;2:41.069;0;;56.642;0;1:02.591;0;41.836;0;84.5;39:11.539;13:16:53.218;0:56.642;1:02.591;0:41.836;59.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;23;2:20.348;0;;44.517;0;48.026;0;47.805;0;97.0;41:31.887;13:19:13.566;0:44.517;0:48.026;0:47.805;108.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;24;2:29.901;0;;54.088;0;1:02.783;0;33.030;0;90.8;44:01.788;13:21:43.467;0:54.088;1:02.783;0:33.030;65.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;25;1:36.132;0;;31.836;0;35.501;0;28.795;0;141.6;45:37.920;13:23:19.599;0:31.836;0:35.501;0:28.795;226.8;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;26;1:32.737;0;;30.328;0;34.694;0;27.715;0;146.8;47:10.657;13:24:52.336;0:30.328;0:34.694;0:27.715;227.2;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;27;1:32.356;0;;30.295;0;34.673;0;27.388;0;147.4;48:43.013;13:26:24.692;0:30.295;0:34.673;0:27.388;230.5;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;28;1:35.267;0;;31.959;0;35.710;0;27.598;0;142.9;50:18.280;13:27:59.959;0:31.959;0:35.710;0:27.598;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;29;1:32.454;0;;30.930;0;34.285;0;27.239;0;147.3;51:50.734;13:29:32.413;0:30.930;0:34.285;0:27.239;227.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;30;1:31.502;0;;30.088;0;34.064;0;27.350;0;148.8;53:22.236;13:31:03.915;0:30.088;0:34.064;0:27.350;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;31;1:31.845;0;;30.424;0;34.173;0;27.248;0;148.2;54:54.081;13:32:35.760;0:30.424;0:34.173;0:27.248;226.8;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;32;1:31.434;0;;30.199;0;34.252;0;26.983;0;148.9;56:25.515;13:34:07.194;0:30.199;0:34.252;0:26.983;228.1;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;33;1:31.841;0;;30.218;0;34.456;0;27.167;0;148.2;57:57.356;13:35:39.035;0:30.218;0:34.456;0:27.167;228.5;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;34;1:31.176;0;;30.397;0;33.816;0;26.963;2;149.3;59:28.532;13:37:10.211;0:30.397;0:33.816;0:26.963;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;35;1:31.674;0;;29.861;0;34.470;0;27.343;0;148.5;1:01:00.206;13:38:41.885;0:29.861;0:34.470;0:27.343;227.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;36;1:30.949;0;;29.923;0;33.821;0;27.205;0;149.7;1:02:31.155;13:40:12.834;0:29.923;0:33.821;0:27.205;228.5;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;37;1:31.408;0;;29.965;0;34.105;0;27.338;0;148.9;1:04:02.563;13:41:44.242;0:29.965;0:34.105;0:27.338;229.3;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;38;1:30.914;0;;29.826;0;34.032;0;27.056;0;149.8;1:05:33.477;13:43:15.156;0:29.826;0:34.032;0:27.056;228.5;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;39;1:31.126;0;;29.954;0;33.953;0;27.219;0;149.4;1:07:04.603;13:44:46.282;0:29.954;0:33.953;0:27.219;229.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;40;1:31.472;0;;29.894;0;34.315;0;27.263;0;148.8;1:08:36.075;13:46:17.754;0:29.894;0:34.315;0:27.263;230.1;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;41;1:31.444;0;;29.930;0;34.307;0;27.207;0;148.9;1:10:07.519;13:47:49.198;0:29.930;0:34.307;0:27.207;230.5;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;42;1:34.142;0;;30.710;0;35.857;0;27.575;0;144.6;1:11:41.661;13:49:23.340;0:30.710;0:35.857;0:27.575;229.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;43;1:32.143;0;;30.287;0;34.579;0;27.277;0;147.8;1:13:13.804;13:50:55.483;0:30.287;0:34.579;0:27.277;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;44;1:31.127;0;;29.936;0;33.962;0;27.229;0;149.4;1:14:44.931;13:52:26.610;0:29.936;0:33.962;0:27.229;231.0;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;45;1:31.365;0;;30.249;0;33.965;0;27.151;0;149.0;1:16:16.296;13:53:57.975;0:30.249;0:33.965;0:27.151;228.1;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;46;1:31.455;0;;30.103;0;34.176;0;27.176;0;148.9;1:17:47.751;13:55:29.430;0:30.103;0:34.176;0:27.176;229.3;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;47;1:31.746;0;;30.192;0;33.985;0;27.569;0;148.4;1:19:19.497;13:57:01.176;0:30.192;0:33.985;0:27.569;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;48;1:31.388;0;;30.499;0;33.737;2;27.152;0;149.0;1:20:50.885;13:58:32.564;0:30.499;0:33.737;0:27.152;225.6;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;49;1:31.410;0;;30.056;0;34.168;0;27.186;0;148.9;1:22:22.295;14:00:03.974;0:30.056;0:34.168;0:27.186;229.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;50;1:30.999;0;;30.107;0;33.847;0;27.045;0;149.6;1:23:53.294;14:01:34.973;0:30.107;0:33.847;0:27.045;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;51;1:31.492;0;;29.955;0;34.240;0;27.297;0;148.8;1:25:24.786;14:03:06.465;0:29.955;0:34.240;0:27.297;229.3;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;52;1:31.933;0;;29.989;0;34.626;0;27.318;0;148.1;1:26:56.719;14:04:38.398;0:29.989;0:34.626;0:27.318;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;53;1:31.183;0;;30.025;0;33.977;0;27.181;0;149.3;1:28:27.902;14:06:09.581;0:30.025;0:33.977;0:27.181;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;54;1:30.891;0;;29.774;2;33.842;0;27.275;0;149.8;1:29:58.793;14:07:40.472;0:29.774;0:33.842;0:27.275;230.1;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;55;1:32.791;0;;31.561;0;34.017;0;27.213;0;146.7;1:31:31.584;14:09:13.263;0:31.561;0:34.017;0:27.213;227.2;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;56;1:31.146;0;;29.892;0;33.985;0;27.269;0;149.4;1:33:02.730;14:10:44.409;0:29.892;0:33.985;0:27.269;230.5;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;57;1:30.759;2;;29.870;0;33.818;0;27.071;0;150.0;1:34:33.489;14:12:15.168;0:29.870;0:33.818;0:27.071;229.7;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;58;1:30.891;0;;29.861;0;33.921;0;27.109;0;149.8;1:36:04.380;14:13:46.059;0:29.861;0:33.921;0:27.109;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;59;1:31.860;0;;29.907;0;34.440;0;27.513;0;148.2;1:37:36.240;14:15:17.919;0:29.907;0:34.440;0:27.513;228.5;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;60;1:32.245;0;;30.911;0;34.138;0;27.196;0;147.6;1:39:08.485;14:16:50.164;0:30.911;0:34.138;0:27.196;231.0;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;61;1:30.986;0;;30.095;0;33.870;0;27.021;0;149.6;1:40:39.471;14:18:21.150;0:30.095;0:33.870;0:27.021;228.9;Sage Karam;;GTD;;3GT Racing;Lexus;
14;1;62;1:31.650;0;;30.069;0;34.222;0;27.359;0;148.6;1:42:11.121;14:19:52.800;0:30.069;0:34.222;0:27.359;229.3;Sage Karam;;GTD;;3GT Racing;Lexus;
15;0;1;1:49.728;0;;45.031;0;36.080;0;28.617;0;124.1;1:49.728;12:39:31.407;0:45.031;0:36.080;0:28.617;220.2;Robert Alon;;GTD;;3GT Racing;Lexus;
