NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
15;0;1;33:20.389;0;;31:41.831;0;37.168;0;1:01.390;0;10.4;33:20.389;09:33;31:41.831;0:37.168;1:01.390;208.9;Konstantin CALKO;0:31:03.417;LMP3;;SVK By Speed Factory;Ginetta;
15;0;2;2:02.905;0;;36.369;0;32.844;0;53.692;0;169.6;35:23.294;09:35;0:36.369;0:32.844;0:53.692;246.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;3;1:57.490;0;;35.600;0;30.201;0;51.689;0;177.4;37:20.784;09:37;0:35.600;0:30.201;0:51.689;266.7;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;4;1:56.957;0;;35.412;0;30.179;0;51.366;0;178.3;39:17.741;09:39;0:35.412;0:30.179;0:51.366;268.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;5;1:56.859;0;;35.240;2;30.266;0;51.353;2;178.4;41:14.600;09:41;0:35.240;0:30.266;0:51.353;268.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;6;2:03.783;0;;37.195;0;34.256;0;52.332;0;168.4;43:18.383;09:43;0:37.195;0:34.256;0:52.332;255.9;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;7;1:56.731;2;;35.250;0;30.109;2;51.372;0;178.6;45:15.114;09:45;0:35.250;0:30.109;0:51.372;268.7;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;8;1:58.041;0;;35.487;0;30.283;0;52.271;0;176.6;47:13.155;09:47;0:35.487;0:30.283;0:52.271;268.0;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;9;1:58.052;0;;35.662;0;30.299;0;52.091;0;176.6;49:11.207;09:49;0:35.662;0:30.299;0:52.091;269.3;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
15;0;10;1:57.746;0;;35.864;0;30.127;0;51.755;0;177.1;51:08.953;09:51;0:35.864;0:30.127;0:51.755;269.3;Konstantin CALKO;;LMP3;;SVK By Speed Factory;Ginetta;
2;0;1;32:49.120;0;;31:23.963;0;31.585;0;53.572;0;10.6;32:49.120;09:32;31:23.963;0:31.585;0:53.572;260.9;Michael SIMPSON;0:30:46.628;LMP3;;Team LNT;Ginetta;
2;0;2;1:55.734;0;;34.664;2;30.032;0;51.038;0;180.1;34:44.854;09:34;0:34.664;0:30.032;0:51.038;268.0;Michael SIMPSON;;LMP3;;Team LNT;Ginetta;
2;0;3;1:55.636;2;;34.792;0;30.021;2;50.823;2;180.3;36:40.490;09:36;0:34.792;0:30.021;0:50.823;269.3;Michael SIMPSON;;LMP3;;Team LNT;Ginetta;
20;2;1;34:08.347;0;;32:50.206;0;29.272;0;48.869;0;10.2;34:08.347;09:34;32:50.206;0:29.272;0:48.869;271.4;Nicolas MINASSIAN;0:32:16.215;LMP2;;AF Racing;BR01;
20;2;2;1:48.597;0;;32.992;0;28.438;0;47.167;0;192.0;35:56.944;09:35;0:32.992;0:28.438;0:47.167;277.6;Nicolas MINASSIAN;;LMP2;;AF Racing;BR01;
20;2;3;1:48.293;0;;32.536;0;28.475;0;47.282;0;192.5;37:45.237;09:37;0:32.536;0:28.475;0:47.282;278.4;Nicolas MINASSIAN;;LMP2;;AF Racing;BR01;
20;2;4;1:48.341;0;;32.423;0;28.378;0;47.540;0;192.4;39:33.578;09:39;0:32.423;0:28.378;0:47.540;277.6;Nicolas MINASSIAN;;LMP2;;AF Racing;BR01;
20;2;5;3:15.891;0;B;33.444;0;28.636;0;2:13.811;0;106.4;42:49.469;09:42;0:33.444;0:28.636;2:13.811;279.1;Nicolas MINASSIAN;;LMP2;;AF Racing;BR01;
20;2;6;2:07.315;0;;50.262;0;28.399;0;48.654;0;163.7;44:56.784;09:44;0:50.262;0:28.399;0:48.654;279.1;Nicolas MINASSIAN;0:01:42.262;LMP2;;AF Racing;BR01;
20;2;7;1:47.090;0;;32.254;0;28.161;3;46.675;2;194.7;46:43.874;09:46;0:32.254;0:28.161;0:46.675;278.4;Nicolas MINASSIAN;;LMP2;;AF Racing;BR01;
20;2;8;1:47.065;2;;32.133;2;28.233;0;46.699;0;194.7;48:30.939;09:48;0:32.133;0:28.233;0:46.699;279.8;Nicolas MINASSIAN;;LMP2;;AF Racing;BR01;
21;0;1;33:34.396;0;;31:37.238;0;;0;;0;10.3;33:34.396;09:33;31:37.238;;;;Mikhail ALESHIN;0:31:01.297;LMP2;;AF Racing;BR01;
21;0;2;1:59.771;0;;35.318;0;29.224;0;55.229;0;174.1;35:34.167;09:35;0:35.318;0:29.224;0:55.229;274.1;Mikhail ALESHIN;;LMP2;;AF Racing;BR01;
21;0;3;1:48.604;0;;32.607;0;28.542;0;47.455;0;192.0;37:22.771;09:37;0:32.607;0:28.542;0:47.455;276.9;Mikhail ALESHIN;;LMP2;;AF Racing;BR01;
21;0;4;1:47.911;0;;32.315;0;28.422;0;47.174;0;193.2;39:10.682;09:39;0:32.315;0:28.422;0:47.174;276.2;Mikhail ALESHIN;;LMP2;;AF Racing;BR01;
21;0;5;2:43.481;0;B;33.516;0;28.723;0;1:41.242;0;127.5;41:54.163;09:41;0:33.516;0:28.723;1:41.242;276.9;Mikhail ALESHIN;;LMP2;;AF Racing;BR01;
21;0;6;2:09.245;0;;50.263;0;29.147;0;49.835;0;161.3;44:03.408;09:44;0:50.263;0:29.147;0:49.835;275.5;Mikhail ALESHIN;0:01:10.423;LMP2;;AF Racing;BR01;
21;0;7;1:52.001;0;;33.899;0;29.428;0;48.674;0;186.1;45:55.409;09:45;0:33.899;0:29.428;0:48.674;274.8;Mikhail ALESHIN;;LMP2;;AF Racing;BR01;
21;0;8;1:53.890;0;;34.900;0;29.203;0;49.787;0;183.1;47:49.299;09:47;0:34.900;0:29.203;0:49.787;279.1;Mikhail ALESHIN;;LMP2;;AF Racing;BR01;
21;0;9;1:47.697;0;;32.645;0;28.332;0;46.720;2;193.6;49:36.996;09:49;0:32.645;0:28.332;0:46.720;277.6;Mikhail ALESHIN;;LMP2;;AF Racing;BR01;
21;0;10;1:47.498;2;;31.981;3;28.329;2;47.188;0;193.9;51:24.494;09:51;0:31.981;0:28.329;0:47.188;277.6;Mikhail ALESHIN;;LMP2;;AF Racing;BR01;
25;0;1;35:37.707;0;;34:10.454;0;34.258;0;52.995;0;9.8;35:37.707;09:35;34:10.454;0:34.258;0:52.995;245.5;Michael MUNEMANN;0:33:32.052;LMP2;;Algarve Pro Racing;Ligier;
25;0;2;1:52.947;0;;34.150;0;29.654;0;49.143;0;184.6;37:30.654;09:37;0:34.150;0:29.654;0:49.143;263.4;Michael MUNEMANN;;LMP2;;Algarve Pro Racing;Ligier;
25;0;3;1:52.390;0;;33.713;0;29.696;0;48.981;0;185.5;39:23.044;09:39;0:33.713;0:29.696;0:48.981;262.8;Michael MUNEMANN;;LMP2;;Algarve Pro Racing;Ligier;
25;0;4;1:52.267;0;;33.629;0;29.687;0;48.951;0;185.7;41:15.311;09:41;0:33.629;0:29.687;0:48.951;264.7;Michael MUNEMANN;;LMP2;;Algarve Pro Racing;Ligier;
25;0;5;1:52.830;0;;34.336;0;29.587;0;48.907;0;184.8;43:08.141;09:43;0:34.336;0:29.587;0:48.907;265.4;Michael MUNEMANN;;LMP2;;Algarve Pro Racing;Ligier;
25;0;6;1:52.275;0;;33.713;0;29.476;0;49.086;0;185.7;45:00.416;09:45;0:33.713;0:29.476;0:49.086;266.7;Michael MUNEMANN;;LMP2;;Algarve Pro Racing;Ligier;
25;0;7;1:51.612;2;;33.549;2;29.464;2;48.599;2;186.8;46:52.028;09:46;0:33.549;0:29.464;0:48.599;266.0;Michael MUNEMANN;;LMP2;;Algarve Pro Racing;Ligier;
25;0;8;2:03.699;0;B;33.861;0;29.567;0;1:00.271;0;168.5;48:55.727;09:48;0:33.861;0:29.567;1:00.271;264.1;Michael MUNEMANN;;LMP2;;Algarve Pro Racing;Ligier;
29;0;1;35:36.633;0;;34:08.530;0;35.533;0;52.570;0;9.8;35:36.633;09:35;34:08.530;0:35.533;0:52.570;246.6;Léo ROUSSEL;0:33:26.509;LMP2;;Pegasus Racing;Morgan;
29;0;2;1:49.605;0;;33.128;0;28.873;0;47.604;0;190.2;37:26.238;09:37;0:33.128;0:28.873;0:47.604;272.7;Léo ROUSSEL;;LMP2;;Pegasus Racing;Morgan;
29;0;3;1:49.175;0;;32.582;0;28.825;0;47.768;0;191.0;39:15.413;09:39;0:32.582;0:28.825;0:47.768;274.8;Léo ROUSSEL;;LMP2;;Pegasus Racing;Morgan;
29;0;4;1:48.744;0;;32.578;0;28.706;0;47.460;0;191.7;41:04.157;09:41;0:32.578;0:28.706;0:47.460;274.8;Léo ROUSSEL;;LMP2;;Pegasus Racing;Morgan;
29;0;5;1:48.920;0;;32.620;0;28.679;0;47.621;0;191.4;42:53.077;09:42;0:32.620;0:28.679;0:47.621;277.6;Léo ROUSSEL;;LMP2;;Pegasus Racing;Morgan;
29;0;6;2:46.976;0;B;32.577;0;28.770;0;1:45.629;0;124.9;45:40.053;09:45;0:32.577;0:28.770;1:45.629;276.9;Léo ROUSSEL;;LMP2;;Pegasus Racing;Morgan;
29;0;7;2:14.271;0;;51.280;0;30.100;0;52.891;0;155.3;47:54.324;09:47;0:51.280;0:30.100;0:52.891;274.1;Léo ROUSSEL;0:01:13.813;LMP2;;Pegasus Racing;Morgan;
29;0;8;1:48.074;2;;32.524;2;28.499;2;47.051;2;192.9;49:42.398;09:49;0:32.524;0:28.499;0:47.051;276.9;Léo ROUSSEL;;LMP2;;Pegasus Racing;Morgan;
3;1;1;32:40.696;0;;31:16.155;0;31.623;0;52.918;0;10.6;32:40.696;09:32;31:16.155;0:31.623;0:52.918;265.4;Charlie ROBERTSON;0:30:37.897;LMP3;;Team LNT;Ginetta;
3;1;2;1:57.681;0;;35.550;0;30.065;0;52.066;0;177.2;34:38.377;09:34;0:35.550;0:30.065;0:52.066;268.7;Charlie ROBERTSON;;LMP3;;Team LNT;Ginetta;
3;1;3;1:56.405;0;;35.089;0;29.995;0;51.321;0;179.1;36:34.782;09:36;0:35.089;0:29.995;0:51.321;269.3;Charlie ROBERTSON;;LMP3;;Team LNT;Ginetta;
3;1;4;1:55.772;0;;34.855;0;29.883;0;51.034;0;180.1;38:30.554;09:38;0:34.855;0:29.883;0:51.034;270.0;Charlie ROBERTSON;;LMP3;;Team LNT;Ginetta;
3;1;5;1:59.232;0;;35.411;0;31.516;0;52.305;0;174.8;40:29.786;09:40;0:35.411;0:31.516;0:52.305;255.3;Charlie ROBERTSON;;LMP3;;Team LNT;Ginetta;
3;1;6;1:55.800;0;;34.874;0;29.896;0;51.030;0;180.0;42:25.586;09:42;0:34.874;0:29.896;0:51.030;270.7;Charlie ROBERTSON;;LMP3;;Team LNT;Ginetta;
3;1;7;1:55.431;2;;34.619;2;29.868;0;50.944;2;180.6;44:21.017;09:44;0:34.619;0:29.868;0:50.944;271.4;Charlie ROBERTSON;;LMP3;;Team LNT;Ginetta;
3;1;8;1:56.447;0;;34.967;0;30.027;0;51.453;0;179.0;46:17.464;09:46;0:34.967;0:30.027;0:51.453;270.0;Charlie ROBERTSON;;LMP3;;Team LNT;Ginetta;
3;1;9;1:56.754;0;;34.654;0;29.818;2;52.282;0;178.6;48:14.218;09:48;0:34.654;0:29.818;0:52.282;270.7;Charlie ROBERTSON;;LMP3;;Team LNT;Ginetta;
33;1;1;44:28.356;0;;43:08.708;0;29.956;0;49.692;0;7.8;44:28.356;09:44;43:08.708;0:29.956;0:49.692;268.7;Richard BRADLEY;0:42:32.288;LMP2;;Eurasia Motorsport;Oreca;
33;1;2;1:53.392;0;;33.739;0;29.224;0;50.429;0;183.9;46:21.748;09:46;0:33.739;0:29.224;0:50.429;271.4;Richard BRADLEY;;LMP2;;Eurasia Motorsport;Oreca;
33;1;3;1:50.963;0;;32.598;2;28.820;0;49.545;0;187.9;48:12.711;09:48;0:32.598;0:28.820;0:49.545;273.4;Richard BRADLEY;;LMP2;;Eurasia Motorsport;Oreca;
33;1;4;1:48.822;2;;32.637;0;28.780;2;47.405;2;191.6;50:01.533;09:50;0:32.637;0:28.780;0:47.405;272.7;Richard BRADLEY;;LMP2;;Eurasia Motorsport;Oreca;
38;2;1;39:55.793;0;;38:30.649;0;32.261;0;52.883;0;8.7;39:55.793;09:39;38:30.649;0:32.261;0:52.883;255.3;Harry TINCKNELL;0:37:52.760;LMP2;;JOTA Sport;Gibson;
38;2;2;1:57.291;0;;35.684;0;31.076;0;50.531;0;177.7;41:53.084;09:41;0:35.684;0:31.076;0:50.531;264.7;Harry TINCKNELL;;LMP2;;JOTA Sport;Gibson;
38;2;3;1:47.571;0;;32.390;0;28.386;0;46.795;0;193.8;43:40.655;09:43;0:32.390;0:28.386;0:46.795;277.6;Harry TINCKNELL;;LMP2;;JOTA Sport;Gibson;
38;2;4;1:46.917;3;;32.122;2;28.317;2;46.478;3;195.0;45:27.572;09:45;0:32.122;0:28.317;0:46.478;278.4;Harry TINCKNELL;;LMP2;;JOTA Sport;Gibson;
38;2;5;1:47.329;0;;32.150;0;28.372;0;46.807;0;194.2;47:14.901;09:47;0:32.150;0:28.372;0:46.807;279.1;Harry TINCKNELL;;LMP2;;JOTA Sport;Gibson;
40;0;1;33:13.663;0;;31:46.833;0;31.481;0;55.349;0;10.5;33:13.663;09:33;31:46.833;0:31.481;0:55.349;250.0;Tracy KROHN;0:31:07.254;LMP2;;Krohn Racing;Ligier;
40;0;2;1:55.498;0;;35.524;0;29.397;0;50.577;0;180.5;35:09.161;09:35;0:35.524;0:29.397;0:50.577;270.7;Tracy KROHN;;LMP2;;Krohn Racing;Ligier;
40;0;3;1:52.887;0;;34.280;0;29.047;0;49.560;0;184.7;37:02.048;09:37;0:34.280;0:29.047;0:49.560;270.0;Tracy KROHN;;LMP2;;Krohn Racing;Ligier;
40;0;4;1:52.659;0;;33.807;0;29.209;0;49.643;0;185.1;38:54.707;09:38;0:33.807;0:29.209;0:49.643;271.4;Tracy KROHN;;LMP2;;Krohn Racing;Ligier;
40;0;5;1:52.608;0;;33.828;0;29.220;0;49.560;0;185.1;40:47.315;09:40;0:33.828;0:29.220;0:49.560;270.0;Tracy KROHN;;LMP2;;Krohn Racing;Ligier;
40;0;6;1:52.375;0;;33.731;0;29.194;0;49.450;2;185.5;42:39.690;09:42;0:33.731;0:29.194;0:49.450;272.7;Tracy KROHN;;LMP2;;Krohn Racing;Ligier;
40;0;7;1:52.649;0;;33.407;2;29.235;0;50.007;0;185.1;44:32.339;09:44;0:33.407;0:29.235;0:50.007;272.0;Tracy KROHN;;LMP2;;Krohn Racing;Ligier;
40;0;8;1:52.301;2;;33.682;0;29.031;2;49.588;0;185.6;46:24.640;09:46;0:33.682;0:29.031;0:49.588;274.1;Tracy KROHN;;LMP2;;Krohn Racing;Ligier;
40;0;9;2:04.934;0;;36.595;0;32.603;0;55.736;0;166.9;48:29.574;09:48;0:36.595;0:32.603;0:55.736;243.8;Tracy KROHN;;LMP2;;Krohn Racing;Ligier;
40;0;10;1:53.382;0;;33.971;0;29.922;0;49.489;0;183.9;50:22.956;09:50;0:33.971;0:29.922;0:49.489;276.2;Tracy KROHN;;LMP2;;Krohn Racing;Ligier;
