NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;37:07.235;0;;35:50.214;0;41.288;0;35.733;0;8.8;37:07.235;13:57;35:50.214;0:41.288;0:35.733;274.8;Loïc DUVAL;0:35:10.492;LMP1;H;Audi Sport Team Joest;Audi;
1;1;2;1:48.620;2;;36.890;2;38.764;0;32.966;0;180.7;38:55.855;13:58;0:36.890;0:38.764;0:32.966;268.0;Loïc DUVAL;;LMP1;H;Audi Sport Team Joest;Audi;
1;1;3;1:53.137;0;;38.894;0;40.278;0;33.965;0;173.4;40:48.992;14:00;0:38.894;0:40.278;0:33.965;232.8;Loïc DUVAL;;LMP1;H;Audi Sport Team Joest;Audi;
1;1;4;1:48.848;0;;37.324;0;38.694;2;32.830;1;180.3;42:37.840;14:02;0:37.324;0:38.694;0:32.830;266.7;Loïc DUVAL;;LMP1;H;Audi Sport Team Joest;Audi;
1;1;5;2:00.682;0;B;39.304;0;40.613;0;40.765;0;162.6;44:38.522;14:04;0:39.304;0:40.613;0:40.765;267.3;Loïc DUVAL;;LMP1;H;Audi Sport Team Joest;Audi;
1;0;6;2:56.699;0;;1:42.900;0;39.573;0;34.226;0;111.1;47:35.221;14:07;1:42.900;0:39.573;0:34.226;252.9;Lucas DI GRASSI;0:01:08.733;LMP1;H;Audi Sport Team Joest;Audi;
1;0;7;1:49.796;0;;37.708;1;39.273;1;32.815;2;178.7;49:25.017;14:09;0:37.708;0:39.273;0:32.815;282.7;Lucas DI GRASSI;;LMP1;H;Audi Sport Team Joest;Audi;
1;0;8;1:54.999;0;;38.620;0;40.991;0;35.388;0;170.6;51:20.016;14:11;0:38.620;0:40.991;0:35.388;258.4;Lucas DI GRASSI;;LMP1;H;Audi Sport Team Joest;Audi;
1;0;9;1:50.555;0;;38.112;0;39.365;0;33.078;0;177.5;53:10.571;14:13;0:38.112;0:39.365;0:33.078;272.7;Lucas DI GRASSI;;LMP1;H;Audi Sport Team Joest;Audi;
1;0;10;2:04.319;0;B;38.726;0;44.659;0;40.934;0;157.8;55:14.890;14:15;0:38.726;0:44.659;0:40.934;265.4;Lucas DI GRASSI;;LMP1;H;Audi Sport Team Joest;Audi;
12;2;1;37:32.723;0;;36:05.530;0;42.004;0;45.189;0;8.7;37:32.723;13:57;36:05.530;0:42.004;0:45.189;261.5;Mathias BECHE;0:35:26.462;LMP1;L;Rebellion Racing;Rebellion;
12;2;2;1:50.797;2;;37.931;2;39.782;2;33.084;2;177.1;39:23.520;13:59;0:37.931;0:39.782;0:33.084;299.2;Mathias BECHE;;LMP1;L;Rebellion Racing;Rebellion;
12;2;3;1:52.088;0;;38.431;0;40.228;0;33.429;0;175.1;41:15.608;14:01;0:38.431;0:40.228;0:33.429;302.5;Mathias BECHE;;LMP1;L;Rebellion Racing;Rebellion;
12;2;4;2:03.801;0;B;40.148;0;42.495;0;41.158;0;158.5;43:19.409;14:03;0:40.148;0:42.495;0:41.158;300.8;Mathias BECHE;;LMP1;L;Rebellion Racing;Rebellion;
12;0;5;3:16.054;0;;2:00.941;0;41.138;0;33.975;0;100.1;46:35.463;14:06;2:00.941;0:41.138;0:33.975;298.3;Nicolas PROST;0:01:25.958;LMP1;L;Rebellion Racing;Rebellion;
12;0;6;1:53.818;0;;39.139;0;41.200;0;33.479;0;172.4;48:29.281;14:08;0:39.139;0:41.200;0:33.479;300.0;Nicolas PROST;;LMP1;L;Rebellion Racing;Rebellion;
12;0;7;1:53.022;0;;38.866;1;40.911;1;33.245;1;173.6;50:22.303;14:10;0:38.866;0:40.911;0:33.245;300.8;Nicolas PROST;;LMP1;L;Rebellion Racing;Rebellion;
12;0;8;2:01.300;0;B;38.947;0;41.492;0;40.861;0;161.8;52:23.603;14:12;0:38.947;0:41.492;0:40.861;301.7;Nicolas PROST;;LMP1;L;Rebellion Racing;Rebellion;
13;2;1;38:01.939;0;;36:46.917;0;41.304;0;33.718;0;8.6;38:01.939;13:58;36:46.917;0:41.304;0:33.718;285.0;Fabio LEIMER;0:36:05.223;LMP1;L;Rebellion Racing;Rebellion;
13;2;2;1:54.279;0;;38.636;0;42.167;0;33.476;0;171.7;39:56.218;13:59;0:38.636;0:42.167;0:33.476;300.8;Fabio LEIMER;;LMP1;L;Rebellion Racing;Rebellion;
13;2;3;1:54.834;0;;40.594;0;40.979;0;33.261;0;170.9;41:51.052;14:01;0:40.594;0:40.979;0:33.261;302.5;Fabio LEIMER;;LMP1;L;Rebellion Racing;Rebellion;
13;2;4;1:52.086;0;;38.606;0;40.684;0;32.796;2;175.1;43:43.138;14:03;0:38.606;0:40.684;0:32.796;302.5;Fabio LEIMER;;LMP1;L;Rebellion Racing;Rebellion;
13;2;5;1:51.865;2;;38.590;2;40.475;2;32.800;0;175.4;45:35.003;14:05;0:38.590;0:40.475;0:32.800;302.5;Fabio LEIMER;;LMP1;L;Rebellion Racing;Rebellion;
13;2;6;2:02.991;0;B;39.270;0;41.856;0;41.865;0;159.6;47:37.994;14:07;0:39.270;0:41.856;0:41.865;295.9;Fabio LEIMER;;LMP1;L;Rebellion Racing;Rebellion;
13;0;7;3:43.494;0;;2:27.548;0;41.311;1;34.635;0;87.8;51:21.488;14:11;2:27.548;0:41.311;0:34.635;291.9;Dominik KRAIHAMER;0:01:49.301;LMP1;L;Rebellion Racing;Rebellion;
13;0;8;1:54.732;0;;39.426;0;41.323;0;33.983;0;171.0;53:16.220;14:13;0:39.426;0:41.323;0:33.983;299.2;Dominik KRAIHAMER;;LMP1;L;Rebellion Racing;Rebellion;
13;0;9;1:54.576;0;;39.306;0;41.608;0;33.662;1;171.3;55:10.796;14:15;0:39.306;0:41.608;0:33.662;300.0;Dominik KRAIHAMER;;LMP1;L;Rebellion Racing;Rebellion;
13;0;10;2:34.806;0;B;39.047;1;48.219;0;1:07.540;0;126.8;57:45.602;14:17;0:39.047;0:48.219;1:07.540;125.9;Dominik KRAIHAMER;;LMP1;L;Rebellion Racing;Rebellion;
14;1;1;36:59.501;0;;35:43.443;0;41.156;0;34.902;0;8.8;36:59.501;13:56;35:43.443;0:41.156;0:34.902;292.7;Neel JANI;0:35:05.973;LMP1;H;Porsche Team;Porsche;
14;1;2;1:47.036;3;;36.886;2;38.641;3;31.509;0;183.3;38:46.537;13:58;0:36.886;0:38.641;0:31.509;279.8;Neel JANI;;LMP1;H;Porsche Team;Porsche;
14;1;3;1:47.606;0;;37.264;0;39.054;0;31.288;3;182.4;40:34.143;14:00;0:37.264;0:39.054;0:31.288;285.7;Neel JANI;;LMP1;H;Porsche Team;Porsche;
14;1;4;1:59.417;0;B;37.856;0;40.792;0;40.769;0;164.3;42:33.560;14:02;0:37.856;0:40.792;0:40.769;272.0;Neel JANI;;LMP1;H;Porsche Team;Porsche;
14;0;5;3:46.972;0;;2:31.454;0;41.604;0;33.914;0;86.5;46:20.532;14:06;2:31.454;0:41.604;0:33.914;253.5;Romain DUMAS;0:01:50.259;LMP1;H;Porsche Team;Porsche;
14;0;6;1:49.443;0;;37.883;0;39.962;0;31.598;0;179.3;48:09.975;14:08;0:37.883;0:39.962;0:31.598;302.5;Romain DUMAS;;LMP1;H;Porsche Team;Porsche;
14;0;7;1:49.115;0;;37.805;1;39.791;1;31.519;1;179.8;49:59.090;14:09;0:37.805;0:39.791;0:31.519;293.5;Romain DUMAS;;LMP1;H;Porsche Team;Porsche;
14;0;8;2:02.647;0;B;37.807;0;41.950;0;42.890;0;160.0;52:01.737;14:12;0:37.807;0:41.950;0:42.890;273.4;Romain DUMAS;;LMP1;H;Porsche Team;Porsche;
2;1;1;37:09.352;0;;35:52.821;0;39.948;0;36.583;0;8.8;37:09.352;13:57;35:52.821;0:39.948;0:36.583;279.1;André LOTTERER;0:35:13.154;LMP1;H;Audi Sport Team Joest;Audi;
