NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;2;1;32:31.627;0;;31:06.168;0;50.246;0;35.213;0;10.9;32:31.627;15:22;31:06.168;0:50.246;0:35.213;266.0;Benoit Tréluyer;0:30:31;
1;2;2;1:56.129;0;;35.338;0;48.395;0;32.396;0;182.6;34:27.756;15:24;0:35.338;0:48.395;0:32.396;268.7;Benoit Tréluyer;;
1;2;3;1:50.825;0;;33.555;0;46.186;0;31.084;0;191.3;36:18.581;15:26;0:33.555;0:46.186;0:31.084;269.3;Benoit Tréluyer;;
1;2;4;1:49.340;0;;32.717;0;46.046;0;30.577;0;193.9;38:07.921;15:28;0:32.717;0:46.046;0:30.577;271.4;Benoit Tréluyer;;
1;2;5;1:50.707;0;;33.108;0;46.279;0;31.320;0;191.5;39:58.628;15:29;0:33.108;0:46.279;0:31.320;255.9;Benoit Tréluyer;;
1;2;6;1:49.699;0;B;33.051;0;45.426;0;31.222;0;193.3;41:48.327;15:31;0:33.051;0:45.426;0:31.222;266.7;Benoit Tréluyer;;
1;2;7;3:56.432;0;;2:41.783;0;44.796;0;29.853;0;89.7;45:44.759;15:35;2:41.783;0:44.796;0:29.853;266.7;Benoit Tréluyer;0:02:15;
1;2;8;1:44.224;0;;31.816;0;43.662;0;28.746;2;203.4;47:28.983;15:37;0:31.816;0:43.662;0:28.746;270.0;Benoit Tréluyer;;
1;2;9;1:43.663;3;;31.747;3;43.044;2;28.872;0;204.5;49:12.646;15:39;0:31.747;0:43.044;0:28.872;271.4;Benoit Tréluyer;;
1;2;10;1:53.286;0;B;31.953;0;44.591;0;36.742;0;187.2;51:05.932;15:41;0:31.953;0:44.591;0:36.742;260.2;Benoit Tréluyer;;
12;1;1;32:24.091;0;;30:55.255;0;54.456;0;34.380;0;10.9;32:24.091;15:22;30:55.255;0:54.456;0:34.380;255.9;Neel Jani;0:30:21;
12;1;2;1:56.466;0;;34.892;0;49.249;0;32.325;0;182.1;34:20.557;15:24;0:34.892;0:49.249;0:32.325;260.2;Neel Jani;;
12;1;3;1:55.657;0;;34.485;0;47.794;0;33.378;0;183.3;36:16.214;15:26;0:34.485;0:47.794;0:33.378;260.9;Neel Jani;;
12;1;4;1:56.370;0;B;34.529;0;47.751;0;34.090;0;182.2;38:12.584;15:28;0:34.529;0:47.751;0:34.090;262.1;Neel Jani;;
12;1;5;2:59.951;0;;1:40.661;0;46.617;0;32.673;0;117.8;41:12.535;15:31;1:40.661;0:46.617;0:32.673;262.8;Neel Jani;0:01:13;
12;1;6;1:47.475;0;;32.707;0;44.504;0;30.264;0;197.3;43:00.010;15:33;0:32.707;0:44.504;0:30.264;261.5;Neel Jani;;
12;1;7;1:46.830;0;;32.493;2;44.365;0;29.972;0;198.5;44:46.840;15:34;0:32.493;0:44.365;0:29.972;262.1;Neel Jani;;
