NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
1;0;1;1:34.393;0;;23.538;0;27.348;0;43.507;0;174.0;1:34.393;15:31;0:23.538;0:27.348;0:43.507;124.9;Lucas DI GRASSI;0:00:04.091;
1;0;2;1:27.852;3;;19.540;2;25.931;3;42.381;3;187.0;3:02.245;15:33;0:19.540;0:25.931;0:42.381;279.8;Lucas DI GRASSI;;
1;0;3;1:29.147;0;;19.948;0;26.016;0;43.183;0;184.3;4:31.392;15:34;0:19.948;0:26.016;0:43.183;270.0;Lucas DI GRASSI;;
1;0;4;1:28.972;0;;19.669;0;26.016;0;43.287;0;184.6;6:00.364;15:36;0:19.669;0:26.016;0:43.287;270.7;Lucas DI GRASSI;;
1;0;5;1:30.752;0;;20.357;0;26.992;0;43.403;0;181.0;7:31.116;15:37;0:20.357;0:26.992;0:43.403;268.0;Lucas DI GRASSI;;
1;0;6;1:29.110;0;;19.756;0;26.255;0;43.099;0;184.3;9:00.226;15:39;0:19.756;0:26.255;0:43.099;268.7;Lucas DI GRASSI;;
1;0;7;1:30.797;0;;19.648;0;27.517;0;43.632;0;180.9;10:31.023;15:40;0:19.648;0:27.517;0:43.632;276.9;Lucas DI GRASSI;;
1;0;8;1:28.680;0;;19.724;0;26.150;0;42.806;0;185.2;11:59.703;15:41;0:19.724;0:26.150;0:42.806;270.7;Lucas DI GRASSI;;
1;0;9;1:29.116;0;;19.920;0;26.296;0;42.900;0;184.3;13:28.819;15:43;0:19.920;0:26.296;0:42.900;268.0;Lucas DI GRASSI;;
1;0;10;1:30.564;0;;19.800;0;27.288;0;43.476;0;181.4;14:59.383;15:44;0:19.800;0:27.288;0:43.476;269.3;Lucas DI GRASSI;;
1;0;11;1:31.480;0;;19.798;0;27.130;0;44.552;0;179.6;16:30.863;15:46;0:19.798;0:27.130;0:44.552;269.3;Lucas DI GRASSI;;
1;0;12;1:29.326;0;;19.784;0;26.579;0;42.963;0;183.9;18:00.189;15:48;0:19.784;0:26.579;0:42.963;270.7;Lucas DI GRASSI;;
1;0;13;1:30.174;0;;19.715;0;26.643;0;43.816;0;182.2;19:30.363;15:49;0:19.715;0:26.643;0:43.816;274.8;Lucas DI GRASSI;;
1;0;14;1:29.635;0;;19.748;0;26.553;0;43.334;0;183.3;20:59.998;15:50;0:19.748;0:26.553;0:43.334;272.0;Lucas DI GRASSI;;
1;0;15;1:29.542;0;;19.764;0;26.409;0;43.369;0;183.5;22:29.540;15:52;0:19.764;0:26.409;0:43.369;270.0;Lucas DI GRASSI;;
1;0;16;1:29.234;0;;19.693;0;26.302;0;43.239;0;184.1;23:58.774;15:53;0:19.693;0:26.302;0:43.239;290.3;Lucas DI GRASSI;;
1;0;17;1:29.236;0;;19.857;0;26.235;0;43.144;0;184.1;25:28.010;15:55;0:19.857;0:26.235;0:43.144;272.7;Lucas DI GRASSI;;
1;0;18;1:29.041;0;;19.714;0;26.186;0;43.141;0;184.5;26:57.051;15:56;0:19.714;0:26.186;0:43.141;269.3;Lucas DI GRASSI;;
1;0;19;1:30.540;0;;19.868;0;27.301;0;43.371;0;181.4;28:27.591;15:58;0:19.868;0:27.301;0:43.371;262.8;Lucas DI GRASSI;;
1;0;20;1:29.138;0;;19.740;0;26.191;0;43.207;0;184.3;29:56.729;15:59;0:19.740;0:26.191;0:43.207;268.0;Lucas DI GRASSI;;
1;0;21;1:31.140;0;;19.739;0;27.325;0;44.076;0;180.2;31:27.869;16:01;0:19.739;0:27.325;0:44.076;276.2;Lucas DI GRASSI;;
1;0;22;1:30.775;0;;19.759;0;27.112;0;43.904;0;181.0;32:58.644;16:02;0:19.759;0:27.112;0:43.904;274.1;Lucas DI GRASSI;;
1;0;23;1:30.303;0;;19.965;0;26.387;0;43.951;0;181.9;34:28.947;16:04;0:19.965;0:26.387;0:43.951;271.4;Lucas DI GRASSI;;
1;0;24;1:29.669;0;;19.729;0;26.270;0;43.670;0;183.2;35:58.616;16:05;0:19.729;0:26.270;0:43.670;275.5;Lucas DI GRASSI;;
1;0;25;1:30.296;0;;19.734;0;26.841;0;43.721;0;181.9;37:28.912;16:07;0:19.734;0:26.841;0:43.721;272.0;Lucas DI GRASSI;;
1;0;26;1:30.136;0;;19.820;0;26.258;0;44.058;0;182.2;38:59.048;16:08;0:19.820;0:26.258;0:44.058;272.7;Lucas DI GRASSI;;
1;0;27;1:30.669;0;;20.252;0;26.780;0;43.637;0;181.2;40:29.717;16:10;0:20.252;0:26.780;0:43.637;;Lucas DI GRASSI;;
1;0;28;1:30.978;0;;19.734;0;27.329;0;43.915;0;180.6;42:00.695;16:12;0:19.734;0:27.329;0:43.915;272.7;Lucas DI GRASSI;;
1;0;29;1:30.467;0;;19.999;0;26.904;0;43.564;0;181.6;43:31.162;16:13;0:19.999;0:26.904;0:43.564;276.2;Lucas DI GRASSI;;
1;0;30;1:30.930;0;;20.281;0;27.049;0;43.600;0;180.7;45:02.092;16:15;0:20.281;0:27.049;0:43.600;260.9;Lucas DI GRASSI;;
1;0;31;1:30.421;0;;19.682;0;27.239;0;43.500;0;181.7;46:32.513;16:16;0:19.682;0:27.239;0:43.500;278.4;Lucas DI GRASSI;;
1;0;32;1:29.652;0;;19.740;0;26.583;0;43.329;0;183.2;48:02.165;16:18;0:19.740;0:26.583;0:43.329;268.0;Lucas DI GRASSI;;
1;0;33;1:29.900;0;;19.840;0;26.393;0;43.667;0;182.7;49:32.065;16:19;0:19.840;0:26.393;0:43.667;270.7;Lucas DI GRASSI;;
1;0;34;1:29.887;0;;19.913;0;26.653;0;43.321;0;182.7;51:01.952;16:21;0:19.913;0:26.653;0:43.321;276.2;Lucas DI GRASSI;;
1;0;35;1:31.495;0;;19.897;0;28.058;0;43.540;0;179.5;52:33.447;16:22;0:19.897;0:28.058;0:43.540;267.3;Lucas DI GRASSI;;
1;0;36;3:12.842;0;B;30.580;0;1:10.392;0;1:31.870;0;85.2;55:46.289;16:25;0:30.580;1:10.392;1:31.870;275.5;Lucas DI GRASSI;;
1;2;37;12:20.862;0;;11:07.486;0;28.722;0;44.654;0;22.2;1:08:07.151;16:38;11:07.486;0:28.722;0:44.654;150.4;Tom KRISTENSEN;0:10:50.957;
1;2;38;1:31.069;0;;20.071;0;27.009;0;43.989;0;180.4;1:09:38.220;16:39;0:20.071;0:27.009;0:43.989;264.1;Tom KRISTENSEN;;
1;2;39;1:30.119;0;;20.109;0;26.508;0;43.502;0;182.3;1:11:08.339;16:41;0:20.109;0:26.508;0:43.502;259.0;Tom KRISTENSEN;;
1;2;40;1:30.006;0;;19.968;0;26.743;0;43.295;0;182.5;1:12:38.345;16:42;0:19.968;0:26.743;0:43.295;263.4;Tom KRISTENSEN;;
1;2;41;1:30.018;0;;19.971;0;26.854;0;43.193;1;182.5;1:14:08.363;16:44;0:19.971;0:26.854;0:43.193;264.1;Tom KRISTENSEN;;
1;2;42;1:29.754;0;;20.055;0;26.276;0;43.423;0;183.0;1:15:38.117;16:45;0:20.055;0:26.276;0:43.423;255.3;Tom KRISTENSEN;;
1;2;43;1:30.138;0;;19.997;0;26.872;0;43.269;0;182.2;1:17:08.255;16:47;0:19.997;0:26.872;0:43.269;275.5;Tom KRISTENSEN;;
1;2;44;1:30.378;0;;20.002;0;26.275;0;44.101;0;181.8;1:18:38.633;16:48;0:20.002;0:26.275;0:44.101;263.4;Tom KRISTENSEN;;
1;2;45;1:30.275;0;;20.129;0;26.783;0;43.363;0;182.0;1:20:08.908;16:50;0:20.129;0:26.783;0:43.363;257.8;Tom KRISTENSEN;;
1;2;46;1:35.565;0;B;19.911;1;26.270;1;49.384;0;171.9;1:21:44.473;16:51;0:19.911;0:26.270;0:49.384;297.5;Tom KRISTENSEN;;
1;1;47;2:45.346;0;;1:32.472;0;27.817;0;45.057;0;99.3;1:24:29.819;16:54;1:32.472;0:27.817;0:45.057;159.3;Loïc DUVAL;0:01:16.776;
1;1;48;1:30.270;0;;19.858;0;26.897;0;43.515;1;182.0;1:26:00.089;16:56;0:19.858;0:26.897;0:43.515;256.5;Loïc DUVAL;;
1;1;49;1:30.633;0;;19.762;1;27.330;0;43.541;0;181.2;1:27:30.722;16:57;0:19.762;0:27.330;0:43.541;268.0;Loïc DUVAL;;
1;1;50;1:31.503;0;;19.961;0;26.654;1;44.888;0;179.5;1:29:02.225;16:59;0:19.961;0:26.654;0:44.888;262.1;Loïc DUVAL;;
1;1;51;1:32.892;0;;21.425;0;26.767;0;44.700;0;176.8;1:30:35.117;17:00;0:21.425;0:26.767;0:44.700;260.9;Loïc DUVAL;;
12;0;1;17:19.504;0;;16:04.839;0;29.162;0;45.503;0;15.8;17:19.504;15:47;16:04.839;0:29.162;0:45.503;148.6;Nicolas PROST;0:15:46.475;
12;0;2;1:33.993;0;;20.601;0;27.953;0;45.439;0;174.8;18:53.497;15:48;0:20.601;0:27.953;0:45.439;297.5;Nicolas PROST;;
12;0;3;1:33.938;0;;20.555;0;28.060;0;45.323;0;174.9;20:27.435;15:50;0:20.555;0:28.060;0:45.323;299.2;Nicolas PROST;;
12;0;4;1:34.281;0;;20.459;0;28.077;0;45.745;0;174.2;22:01.716;15:52;0:20.459;0:28.077;0:45.745;299.2;Nicolas PROST;;
12;0;5;1:33.338;0;;20.559;0;27.693;0;45.086;0;176.0;23:35.054;15:53;0:20.559;0:27.693;0:45.086;298.3;Nicolas PROST;;
12;0;6;1:44.696;0;B;20.771;0;28.038;0;55.887;0;156.9;25:19.750;15:55;0:20.771;0:28.038;0:55.887;300.0;Nicolas PROST;;
12;0;7;4:44.744;0;;3:29.189;0;29.819;0;45.736;0;57.7;30:04.494;16:00;3:29.189;0:29.819;0:45.736;153.8;Nicolas PROST;0:03:13.440;
12;0;8;1:34.051;0;;20.391;0;28.304;0;45.356;0;174.7;31:38.545;16:01;0:20.391;0:28.304;0:45.356;299.2;Nicolas PROST;;
12;0;9;1:44.735;0;B;20.606;0;29.137;0;54.992;0;156.8;33:23.280;16:03;0:20.606;0:29.137;0:54.992;295.1;Nicolas PROST;;
12;0;10;5:44.058;0;B;4:20.806;0;27.868;0;55.384;0;47.7;39:07.338;16:09;4:20.806;0:27.868;0:55.384;143.8;Nicolas PROST;0:04:04.310;
12;0;11;2:52.030;0;;1:38.837;0;28.334;0;44.859;0;95.5;41:59.368;16:11;1:38.837;0:28.334;0:44.859;139.9;Nicolas PROST;0:01:22.772;
12;0;12;1:36.493;0;;20.663;0;28.380;0;47.450;0;170.2;43:35.861;16:13;0:20.663;0:28.380;0:47.450;264.1;Nicolas PROST;;
12;0;13;1:32.517;0;;20.399;0;27.664;0;44.454;2;177.6;45:08.378;16:15;0:20.399;0:27.664;0:44.454;295.9;Nicolas PROST;;
12;0;14;1:32.441;2;;20.298;1;27.602;2;44.541;0;177.7;46:40.819;16:16;0:20.298;0:27.602;0:44.541;299.2;Nicolas PROST;;
12;0;15;1:36.241;0;;20.711;0;28.513;0;47.017;0;170.7;48:17.060;16:18;0:20.711;0:28.513;0:47.017;290.3;Nicolas PROST;;
12;0;16;1:40.971;0;B;20.322;0;27.626;0;53.023;0;162.7;49:58.031;16:19;0:20.322;0:27.626;0:53.023;298.3;Nicolas PROST;;
12;1;17;5:32.532;0;;2:56.750;0;1:07.641;0;1:28.141;0;49.4;55:30.563;16:25;2:56.750;1:07.641;1:28.141;149.2;Nick HEIDFELD;0:02:31.707;
12;1;18;3:28.784;0;;52.857;0;1:07.339;0;1:28.588;0;78.7;58:59.347;16:28;0:52.857;1:07.339;1:28.588;75.4;Nick HEIDFELD;;
12;1;19;3:27.751;0;B;53.339;0;1:07.177;0;1:27.235;0;79.1;1:02:27.098;16:32;0:53.339;1:07.177;1:27.235;78.4;Nick HEIDFELD;;
12;1;20;4:58.690;0;;3:42.490;0;30.313;0;45.887;0;55.0;1:07:25.788;16:37;3:42.490;0:30.313;0:45.887;155.8;Nick HEIDFELD;0:03:26.081;
12;1;21;1:34.627;0;;20.441;0;28.872;0;45.314;0;173.6;1:09:00.415;16:39;0:20.441;0:28.872;0:45.314;296.7;Nick HEIDFELD;;
12;1;22;1:35.308;0;;20.759;0;29.221;0;45.328;0;172.4;1:10:35.723;16:40;0:20.759;0:29.221;0:45.328;271.4;Nick HEIDFELD;;
12;1;23;1:34.849;0;;20.334;0;28.848;0;45.667;0;173.2;1:12:10.572;16:42;0:20.334;0:28.848;0:45.667;299.2;Nick HEIDFELD;;
12;1;24;1:33.914;0;;20.443;0;28.509;0;44.962;0;174.9;1:13:44.486;16:43;0:20.443;0:28.509;0:44.962;299.2;Nick HEIDFELD;;
12;1;25;1:43.390;0;B;20.371;0;28.199;0;54.820;0;158.9;1:15:27.876;16:45;0:20.371;0:28.199;0:54.820;298.3;Nick HEIDFELD;;
12;1;26;4:29.886;0;;3:14.903;0;29.835;0;45.148;0;60.9;1:19:57.762;16:49;3:14.903;0:29.835;0:45.148;158.6;Nick HEIDFELD;0:02:58.936;
12;1;27;1:34.324;0;;20.537;0;28.412;0;45.375;0;174.2;1:21:32.086;16:51;0:20.537;0:28.412;0:45.375;290.3;Nick HEIDFELD;;
12;1;28;1:40.794;0;B;20.377;0;28.478;0;51.939;0;163.0;1:23:12.880;16:53;0:20.377;0:28.478;0:51.939;296.7;Nick HEIDFELD;;
12;1;29;3:05.507;0;;1:51.703;0;29.206;0;44.598;1;88.6;1:26:18.387;16:56;1:51.703;0:29.206;0:44.598;160.7;Nick HEIDFELD;0:01:36.118;
12;1;30;1:33.798;0;;20.202;2;28.946;0;44.650;0;175.1;1:27:52.185;16:57;0:20.202;0:28.946;0:44.650;298.3;Nick HEIDFELD;;
12;1;31;1:38.194;0;;20.281;0;29.627;0;48.286;0;167.3;1:29:30.379;16:59;0:20.281;0:29.627;0:48.286;299.2;Nick HEIDFELD;;
12;1;32;1:34.120;0;;20.222;0;28.086;1;45.812;0;174.5;1:31:04.499;17:01;0:20.222;0:28.086;0:45.812;295.9;Nick HEIDFELD;;
13;0;1;24:41.092;0;;23:24.108;0;28.732;0;48.252;0;11.1;24:41.092;15:54;23:24.108;0:28.732;0:48.252;128.3;Dominik KRAIHAMER;0:23:04.239;
13;0;2;1:36.946;0;;22.781;0;28.503;0;45.662;0;169.4;26:18.038;15:56;0:22.781;0:28.503;0:45.662;242.7;Dominik KRAIHAMER;;
13;0;3;1:37.021;0;;22.742;0;28.818;0;45.461;0;169.3;27:55.059;15:57;0:22.742;0:28.818;0:45.461;298.3;Dominik KRAIHAMER;;
13;0;4;1:35.533;0;;21.102;0;28.918;0;45.513;0;171.9;29:30.592;15:59;0:21.102;0:28.918;0:45.513;276.9;Dominik KRAIHAMER;;
13;0;5;1:35.482;0;;20.607;0;28.612;0;46.263;0;172.0;31:06.074;16:01;0:20.607;0:28.612;0:46.263;297.5;Dominik KRAIHAMER;;
13;0;6;1:34.290;0;;20.564;0;28.327;0;45.399;1;174.2;32:40.364;16:02;0:20.564;0:28.327;0:45.399;299.2;Dominik KRAIHAMER;;
13;0;7;1:35.637;0;;20.402;1;28.610;0;46.625;0;171.8;34:16.001;16:04;0:20.402;0:28.610;0:46.625;299.2;Dominik KRAIHAMER;;
13;0;8;1:46.491;0;B;21.757;0;31.029;0;53.705;0;154.3;36:02.492;16:06;0:21.757;0:31.029;0:53.705;302.5;Dominik KRAIHAMER;;
13;0;9;11:24.148;0;;10:09.528;0;28.876;0;45.744;0;24.0;47:26.640;16:17;10:09.528;0:28.876;0:45.744;142.9;Dominik KRAIHAMER;0:09:52.502;
13;0;10;1:34.345;0;;20.606;0;28.207;1;45.532;0;174.1;49:00.985;16:19;0:20.606;0:28.207;0:45.532;290.3;Dominik KRAIHAMER;;
13;0;11;1:36.418;0;;20.670;0;29.975;0;45.773;0;170.4;50:37.403;16:20;0:20.670;0:29.975;0:45.773;300.8;Dominik KRAIHAMER;;
13;0;12;1:34.378;0;;20.581;0;28.269;0;45.528;0;174.1;52:11.781;16:22;0:20.581;0:28.269;0:45.528;299.2;Dominik KRAIHAMER;;
13;0;13;2:39.794;0;B;20.607;0;46.968;0;1:32.219;0;102.8;54:51.575;16:24;0:20.607;0:46.968;1:32.219;300.8;Dominik KRAIHAMER;;
13;2;14;13:17.435;0;;12:01.429;0;29.491;0;46.515;0;20.6;1:08:09.010;16:38;12:01.429;0:29.491;0:46.515;128.7;Fabio LEIMER;0:11:44.846;
13;2;15;1:33.184;0;;20.560;0;27.521;0;45.103;0;176.3;1:09:42.194;16:39;0:20.560;0:27.521;0:45.103;296.7;Fabio LEIMER;;
13;2;16;1:32.469;0;;20.478;0;27.302;2;44.689;0;177.6;1:11:14.663;16:41;0:20.478;0:27.302;0:44.689;298.3;Fabio LEIMER;;
13;2;17;1:31.971;2;;20.251;0;27.372;0;44.348;2;178.6;1:12:46.634;16:42;0:20.251;0:27.372;0:44.348;299.2;Fabio LEIMER;;
13;2;18;1:34.156;0;;20.507;0;28.742;0;44.907;0;174.5;1:14:20.790;16:44;0:20.507;0:28.742;0:44.907;300.8;Fabio LEIMER;;
13;2;19;1:32.756;0;;20.253;0;27.629;0;44.874;0;177.1;1:15:53.546;16:45;0:20.253;0:27.629;0:44.874;300.8;Fabio LEIMER;;
13;2;20;1:32.799;0;;20.401;0;27.571;0;44.827;0;177.0;1:17:26.345;16:47;0:20.401;0:27.571;0:44.827;300.8;Fabio LEIMER;;
13;2;21;1:32.589;0;;20.179;2;27.691;0;44.719;0;177.4;1:18:58.934;16:48;0:20.179;0:27.691;0:44.719;300.8;Fabio LEIMER;;
13;2;22;1:32.546;0;;20.250;0;27.782;0;44.514;0;177.5;1:20:31.480;16:50;0:20.250;0:27.782;0:44.514;300.8;Fabio LEIMER;;
13;2;23;1:32.088;0;;20.189;0;27.444;0;44.455;0;178.4;1:22:03.568;16:52;0:20.189;0:27.444;0:44.455;300.0;Fabio LEIMER;;
13;2;24;1:43.304;0;B;20.512;0;29.446;0;53.346;0;159.0;1:23:46.872;16:53;0:20.512;0:29.446;0:53.346;295.1;Fabio LEIMER;;
13;2;25;4:07.242;0;;2:53.435;0;28.182;0;45.625;0;66.4;1:27:54.114;16:57;2:53.435;0:28.182;0:45.625;143.4;Fabio LEIMER;0:02:37.002;
13;2;26;1:36.943;0;;20.233;0;29.294;0;47.416;0;169.4;1:29:31.057;16:59;0:20.233;0:29.294;0:47.416;299.2;Fabio LEIMER;;
13;2;27;1:34.511;0;;20.553;0;27.958;0;46.000;0;173.8;1:31:05.568;17:01;0:20.553;0:27.958;0:46.000;298.3;Fabio LEIMER;;
14;0;1;1:35.725;0;;24.988;0;27.362;0;43.375;0;171.6;1:35.725;15:31;0:24.988;0:27.362;0:43.375;154.7;Romain DUMAS;0:00:07.151;
14;0;2;1:29.119;0;;19.683;0;26.754;0;42.682;1;184.3;3:04.844;15:33;0:19.683;0:26.754;0:42.682;290.3;Romain DUMAS;;
14;0;3;1:29.245;0;;19.527;0;26.614;0;43.104;0;184.1;4:34.089;15:34;0:19.527;0:26.614;0:43.104;294.3;Romain DUMAS;;
14;0;4;1:29.176;0;;19.646;0;26.653;0;42.877;0;184.2;6:03.265;15:36;0:19.646;0:26.653;0:42.877;295.1;Romain DUMAS;;
14;0;5;1:30.245;0;;19.526;0;27.377;0;43.342;0;182.0;7:33.510;15:37;0:19.526;0:27.377;0:43.342;298.3;Romain DUMAS;;
14;0;6;1:29.997;0;;19.617;0;26.895;0;43.485;0;182.5;9:03.507;15:39;0:19.617;0:26.895;0:43.485;295.9;Romain DUMAS;;
14;0;7;1:38.900;0;B;19.424;0;26.970;0;52.506;0;166.1;10:42.407;15:40;0:19.424;0:26.970;0:52.506;295.9;Romain DUMAS;;
14;0;8;6:46.425;0;;5:33.092;0;29.386;0;43.947;0;40.4;17:28.832;15:47;5:33.092;0:29.386;0:43.947;131.9;Romain DUMAS;0:05:15.373;
14;0;9;1:29.852;0;;19.658;0;26.850;0;43.344;0;182.8;18:58.684;15:48;0:19.658;0:26.850;0:43.344;298.3;Romain DUMAS;;
14;0;10;1:30.427;0;;19.467;0;26.616;0;44.344;0;181.7;20:29.111;15:50;0:19.467;0:26.616;0:44.344;299.2;Romain DUMAS;;
14;0;11;1:30.686;0;;19.780;0;27.131;0;43.775;0;181.1;21:59.797;15:51;0:19.780;0:27.131;0:43.775;296.7;Romain DUMAS;;
14;0;12;1:29.473;0;;19.429;0;26.540;1;43.504;0;183.6;23:29.270;15:53;0:19.429;0:26.540;0:43.504;302.5;Romain DUMAS;;
14;0;13;1:29.809;0;;19.486;0;26.935;0;43.388;0;182.9;24:59.079;15:54;0:19.486;0:26.935;0:43.388;302.5;Romain DUMAS;;
14;0;14;1:30.036;0;;19.368;1;26.867;0;43.801;0;182.4;26:29.115;15:56;0:19.368;0:26.867;0:43.801;303.4;Romain DUMAS;;
14;0;15;1:30.243;0;;19.591;0;26.876;0;43.776;0;182.0;27:59.358;15:57;0:19.591;0:26.876;0:43.776;299.2;Romain DUMAS;;
14;0;16;1:33.131;0;;19.817;0;29.153;0;44.161;0;176.4;29:32.489;15:59;0:19.817;0:29.153;0:44.161;301.7;Romain DUMAS;;
14;0;17;1:31.541;0;;20.032;0;27.376;0;44.133;0;179.4;31:04.030;16:01;0:20.032;0:27.376;0:44.133;270.0;Romain DUMAS;;
14;0;18;1:31.774;0;;19.927;0;27.148;0;44.699;0;179.0;32:35.804;16:02;0:19.927;0:27.148;0:44.699;271.4;Romain DUMAS;;
14;0;19;1:30.840;0;;19.829;0;27.296;0;43.715;0;180.8;34:06.644;16:04;0:19.829;0:27.296;0:43.715;295.9;Romain DUMAS;;
14;0;20;1:42.723;0;;20.105;0;34.196;0;48.422;0;159.9;35:49.367;16:05;0:20.105;0:34.196;0:48.422;260.9;Romain DUMAS;;
14;0;21;1:30.107;0;;19.638;0;26.978;0;43.491;0;182.3;37:19.474;16:07;0:19.638;0:26.978;0:43.491;277.6;Romain DUMAS;;
14;0;22;1:29.974;0;;19.504;0;27.047;0;43.423;0;182.6;38:49.448;16:08;0:19.504;0:27.047;0:43.423;296.7;Romain DUMAS;;
14;0;23;1:31.435;0;;20.163;0;27.878;0;43.394;0;179.7;40:20.883;16:10;0:20.163;0:27.878;0:43.394;300.0;Romain DUMAS;;
14;0;24;1:29.671;0;;19.795;0;26.869;0;43.007;0;183.2;41:50.554;16:11;0:19.795;0:26.869;0:43.007;267.3;Romain DUMAS;;
14;0;25;1:29.315;0;;19.715;0;26.643;0;42.957;0;183.9;43:19.869;16:13;0:19.715;0:26.643;0:42.957;292.7;Romain DUMAS;;
14;0;26;1:30.840;0;;19.603;0;27.645;0;43.592;0;180.8;44:50.709;16:14;0:19.603;0:27.645;0:43.592;266.7;Romain DUMAS;;
14;0;27;1:38.719;0;B;19.507;0;28.761;0;50.451;0;166.4;46:29.428;16:16;0:19.507;0:28.761;0:50.451;297.5;Romain DUMAS;;
14;1;28;3:05.768;0;;1:53.860;0;28.103;0;43.805;0;88.4;49:35.196;16:19;1:53.860;0:28.103;0:43.805;132.8;Neel JANI;0:01:35.645;
14;1;29;1:34.037;0;;19.733;0;28.821;0;45.483;0;174.7;51:09.233;16:21;0:19.733;0:28.821;0:45.483;294.3;Neel JANI;;
14;1;30;1:32.827;0;;19.608;0;27.143;0;46.076;0;177.0;52:42.060;16:22;0:19.608;0:27.143;0:46.076;295.1;Neel JANI;;
14;1;31;3:19.695;0;;48.105;0;1:06.704;0;1:24.886;0;82.3;56:01.755;16:26;0:48.105;1:06.704;1:24.886;80.7;Neel JANI;;
14;1;32;3:25.122;0;B;51.466;0;1:06.625;0;1:27.031;0;80.1;59:26.877;16:29;0:51.466;1:06.625;1:27.031;80.2;Neel JANI;;
14;1;33;7:20.612;0;;6:07.678;0;28.847;0;44.087;0;37.3;1:06:47.489;16:36;6:07.678;0:28.847;0:44.087;144.8;Neel JANI;0:05:50.319;
14;1;34;1:31.282;0;;19.944;0;27.679;0;43.659;0;180.0;1:08:18.771;16:38;0:19.944;0:27.679;0:43.659;289.5;Neel JANI;;
14;1;35;1:31.193;0;;19.716;0;27.906;0;43.571;0;180.1;1:09:49.964;16:39;0:19.716;0:27.906;0:43.571;295.9;Neel JANI;;
14;1;36;1:30.063;0;;19.623;0;27.243;0;43.197;0;182.4;1:11:20.027;16:41;0:19.623;0:27.243;0:43.197;295.1;Neel JANI;;
14;1;37;1:29.781;0;;19.566;0;27.000;0;43.215;0;183.0;1:12:49.808;16:42;0:19.566;0:27.000;0:43.215;295.9;Neel JANI;;
14;1;38;1:31.865;0;;19.871;0;28.243;0;43.751;0;178.8;1:14:21.673;16:44;0:19.871;0:28.243;0:43.751;298.3;Neel JANI;;
14;1;39;1:31.294;0;;19.556;0;27.655;0;44.083;0;179.9;1:15:52.967;16:45;0:19.556;0:27.655;0:44.083;298.3;Neel JANI;;
14;1;40;1:29.773;0;;19.599;0;26.837;0;43.337;0;183.0;1:17:22.740;16:47;0:19.599;0:26.837;0:43.337;294.3;Neel JANI;;
14;1;41;1:37.245;0;B;19.560;0;27.272;0;50.413;0;168.9;1:18:59.985;16:48;0:19.560;0:27.272;0:50.413;298.3;Neel JANI;;
14;1;42;2:35.855;0;;1:25.400;0;27.234;0;43.221;0;105.4;1:21:35.840;16:51;1:25.400;0:27.234;0:43.221;159.1;Neel JANI;0:01:10.076;
14;1;43;1:29.379;0;;19.434;0;27.080;0;42.865;0;183.8;1:23:05.219;16:53;0:19.434;0:27.080;0:42.865;295.1;Neel JANI;;
14;1;44;1:28.441;2;;19.403;0;26.449;2;42.589;2;185.7;1:24:33.660;16:54;0:19.403;0:26.449;0:42.589;295.9;Neel JANI;;
14;1;45;1:29.747;0;;19.213;3;27.110;0;43.424;0;183.0;1:26:03.407;16:56;0:19.213;0:27.110;0:43.424;297.5;Neel JANI;;
14;1;46;1:29.339;0;;19.254;0;27.051;0;43.034;0;183.9;1:27:32.746;16:57;0:19.254;0:27.051;0:43.034;297.5;Neel JANI;;
14;1;47;1:30.701;0;;19.315;0;26.803;0;44.583;0;181.1;1:29:03.447;16:59;0:19.315;0:26.803;0:44.583;297.5;Neel JANI;;
14;1;48;1:30.140;0;;19.391;0;26.716;0;44.033;0;182.2;1:30:33.587;17:00;0:19.391;0:26.716;0:44.033;295.9;Neel JANI;;
2;0;1;1:35.057;0;;24.075;0;27.649;0;43.333;0;172.8;1:35.057;15:31;0:24.075;0:27.649;0:43.333;152.8;Marcel FÄSSLER;0:00:05.253;
2;0;2;1:28.403;2;;19.414;0;26.305;0;42.684;2;185.8;3:03.460;15:33;0:19.414;0:26.305;0:42.684;288.8;Marcel FÄSSLER;;
2;0;3;1:29.132;0;;19.560;0;26.371;0;43.201;0;184.3;4:32.592;15:34;0:19.560;0:26.371;0:43.201;279.8;Marcel FÄSSLER;;
2;0;4;1:28.919;0;;19.598;0;26.241;0;43.080;0;184.7;6:01.511;15:36;0:19.598;0:26.241;0:43.080;275.5;Marcel FÄSSLER;;
2;0;5;1:30.826;0;;19.646;0;27.299;0;43.881;0;180.9;7:32.337;15:37;0:19.646;0:27.299;0:43.881;273.4;Marcel FÄSSLER;;
2;0;6;1:29.340;0;;19.913;0;26.248;0;43.179;0;183.9;9:01.677;15:39;0:19.913;0:26.248;0:43.179;272.7;Marcel FÄSSLER;;
2;0;7;1:31.323;0;;19.613;0;27.995;0;43.715;0;179.9;10:33.000;15:40;0:19.613;0:27.995;0:43.715;281.2;Marcel FÄSSLER;;
