NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
12;0;1;2:07.105;0;;;0;;0;;0;153.3;2:07.105;08:52;;;;;Karthik TARANI;;;;;;
12;0;2;2:35.280;0;;49.486;0;56.436;0;49.358;0;125.5;4:42.385;08:54;0:49.486;0:56.436;0:49.358;166.7;Karthik TARANI;;;;;;
12;0;3;2:13.539;0;;44.921;0;47.994;0;40.624;0;145.9;6:55.924;08:56;0:44.921;0:47.994;0:40.624;182.1;Karthik TARANI;;;;;;
12;0;4;2:08.389;0;;41.551;0;46.407;0;40.431;0;151.8;9:04.313;08:59;0:41.551;0:46.407;0:40.431;223.4;Karthik TARANI;;;;;;
12;0;5;2:06.545;0;;41.243;0;45.438;0;39.864;0;154.0;11:10.858;09:01;0:41.243;0:45.438;0:39.864;224.3;Karthik TARANI;;;;;;
12;0;6;2:05.179;0;;40.592;0;45.103;0;39.484;0;155.6;13:16.037;09:03;0:40.592;0:45.103;0:39.484;224.8;Karthik TARANI;;;;;;
12;0;7;2:05.991;0;;40.566;0;45.316;0;40.109;0;154.6;15:22.028;09:05;0:40.566;0:45.316;0:40.109;225.8;Karthik TARANI;;;;;;
12;0;8;2:05.004;0;;40.639;0;44.862;0;39.503;0;155.9;17:27.032;09:07;0:40.639;0:44.862;0:39.503;227.2;Karthik TARANI;;;;;;
12;0;9;2:04.286;2;;40.475;0;44.689;2;39.122;2;156.8;19:31.318;09:09;0:40.475;0:44.689;0:39.122;224.8;Karthik TARANI;;;;;;
12;0;10;2:04.856;0;;40.554;0;44.839;0;39.463;0;156.0;21:36.174;09:11;0:40.554;0:44.839;0:39.463;224.3;Karthik TARANI;;;;;;
12;0;11;4:26.282;0;;40.368;2;;0;;0;73.2;26:02.456;09:16;0:40.368;;;224.8;Karthik TARANI;;;;;;
14;0;1;2:00.805;0;;;0;;0;;0;161.3;2:00.805;08:52;;;;;Arjun NARENDRAN;;;;;;
14;0;2;2:28.178;0;;48.593;0;54.849;0;44.736;0;131.5;4:28.983;08:54;0:48.593;0:54.849;0:44.736;175.9;Arjun NARENDRAN;;;;;;
14;0;3;2:15.089;0;;43.526;0;48.471;0;43.092;0;144.2;6:44.072;08:56;0:43.526;0:48.471;0:43.092;222.5;Arjun NARENDRAN;;;;;;
14;0;4;2:12.000;0;;42.573;0;47.688;0;41.739;0;147.6;8:56.072;08:58;0:42.573;0:47.688;0:41.739;224.3;Arjun NARENDRAN;;;;;;
14;0;5;2:09.908;0;;41.808;0;46.913;0;41.187;0;150.0;11:05.980;09:01;0:41.808;0:46.913;0:41.187;225.8;Arjun NARENDRAN;;;;;;
14;0;6;2:08.433;0;;41.266;0;46.416;0;40.751;0;151.7;13:14.413;09:03;0:41.266;0:46.416;0:40.751;226.7;Arjun NARENDRAN;;;;;;
14;0;7;2:06.788;0;;41.004;0;45.777;0;40.007;0;153.7;15:21.201;09:05;0:41.004;0:45.777;0:40.007;225.3;Arjun NARENDRAN;;;;;;
14;0;8;2:08.475;0;;42.485;0;45.681;0;40.309;0;151.6;17:29.676;09:07;0:42.485;0:45.681;0:40.309;226.2;Arjun NARENDRAN;;;;;;
14;0;9;2:06.780;0;;41.034;0;45.408;0;40.338;0;153.7;19:36.456;09:09;0:41.034;0:45.408;0:40.338;224.8;Arjun NARENDRAN;;;;;;
14;0;10;2:06.243;0;;40.662;0;45.568;0;40.013;0;154.3;21:42.699;09:11;0:40.662;0:45.568;0:40.013;225.3;Arjun NARENDRAN;;;;;;
14;0;11;2:06.306;0;;40.745;0;45.470;0;40.091;0;154.3;23:49.005;09:13;0:40.745;0:45.470;0:40.091;225.8;Arjun NARENDRAN;;;;;;
14;0;12;2:05.141;2;;40.435;2;44.952;2;39.754;2;155.7;25:54.146;09:15;0:40.435;0:44.952;0:39.754;225.8;Arjun NARENDRAN;;;;;;
15;0;1;1:26.923;0;;;0;;0;;0;224.1;1:26.923;08:51;;;;;Tarun REDDY;;;;;;
15;0;2;2:26.349;0;;48.933;0;50.036;0;47.380;0;133.1;3:53.272;08:53;0:48.933;0:50.036;0:47.380;167.7;Tarun REDDY;;;;;;
15;0;3;2:18.347;0;;48.311;0;49.827;0;40.209;0;140.8;6:11.619;08:56;0:48.311;0:49.827;0:40.209;179.4;Tarun REDDY;;;;;;
15;0;4;2:06.534;0;;41.315;0;45.724;0;39.495;0;154.0;8:18.153;08:58;0:41.315;0:45.724;0:39.495;221.1;Tarun REDDY;;;;;;
15;0;5;2:04.638;0;;40.484;0;45.198;0;38.956;0;156.3;10:22.791;09:00;0:40.484;0:45.198;0:38.956;225.8;Tarun REDDY;;;;;;
15;0;6;2:04.734;0;;40.416;0;44.968;0;39.350;0;156.2;12:27.525;09:02;0:40.416;0:44.968;0:39.350;227.6;Tarun REDDY;;;;;;
15;0;7;2:03.808;0;;40.133;0;44.530;0;39.145;0;157.4;14:31.333;09:04;0:40.133;0:44.530;0:39.145;225.8;Tarun REDDY;;;;;;
