NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;4:07.146;0;B;2:02.566;0;43.215;0;1:21.365;0;80.3;4:07.146;18:19;2:02.566;0:43.215;1:21.365;260.2;Sébastien BUEMI;0:01:41.655;LMP1;H;Toyota Racing;Toyota;
1;1;2;5:45.773;0;;4:18.364;0;42.771;0;44.638;0;57.4;9:52.918;18:24;4:18.364;0:42.771;0:44.638;280.5;Sébastien BUEMI;0:03:58.959;LMP1;H;Toyota Racing;Toyota;
1;1;3;1:48.927;0;;23.171;1;41.941;0;43.815;2;182.3;11:41.845;18:26;0:23.171;0:41.941;0:43.815;278.4;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;4;1:48.775;0;;23.241;0;41.622;2;43.912;0;182.6;13:30.620;18:28;0:23.241;0:41.622;0:43.912;276.2;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;5;1:48.768;2;;23.266;0;41.654;0;43.848;0;182.6;15:19.388;18:30;0:23.266;0:41.654;0:43.848;275.5;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;1;6;1:59.909;0;B;24.418;0;44.480;0;51.011;0;165.6;17:19.297;18:32;0:24.418;0:44.480;0:51.011;240.0;Sébastien BUEMI;;LMP1;H;Toyota Racing;Toyota;
1;2;7;4:02.423;0;;2:30.938;0;43.826;0;47.659;0;81.9;21:21.720;18:36;2:30.938;0:43.826;0:47.659;280.5;Kazuki NAKAJIMA;0:02:06.702;LMP1;H;Toyota Racing;Toyota;
1;2;8;1:50.208;0;;23.152;0;42.574;0;44.482;0;180.2;23:11.928;18:38;0:23.152;0:42.574;0:44.482;277.6;Kazuki NAKAJIMA;;LMP1;H;Toyota Racing;Toyota;
1;2;9;1:49.451;0;;23.222;0;42.015;0;44.214;1;181.4;25:01.379;18:40;0:23.222;0:42.015;0:44.214;276.9;Kazuki NAKAJIMA;;LMP1;H;Toyota Racing;Toyota;
1;2;10;1:49.212;0;;23.147;2;41.672;1;44.393;0;181.8;26:50.591;18:41;0:23.147;0:41.672;0:44.393;276.9;Kazuki NAKAJIMA;;LMP1;H;Toyota Racing;Toyota;
12;2;1;2:38.518;0;;55.658;0;44.354;0;58.506;0;125.3;2:38.518;18:17;0:55.658;0:44.354;0:58.506;245.5;Nick HEIDFELD;0:00:33.560;LMP1;;Rebellion Racing;Rebellion;
